Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,57
abr. 2008,100
mai. 2008,49
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,73
abr. 2009,0
mai. 2009,46
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,0
fev. 2011,19
mar. 2011,29
abr. 2011,43
mai. 2011,31
jun. 2011,43
jul. 2011,48
ago. 2011,37
set. 2011,18
out. 2011,25
nov. 2011,17
dez. 2011,24
jan. 2012,32
fev. 2012,39
mar. 2012,42
abr. 2012,48
mai. 2012,35
jun. 2012,33
jul. 2012,28
ago. 2012,28
set. 2012,30
out. 2012,17
nov. 2012,13
dez. 2012,10
jan. 2013,14
fev. 2013,20
mar. 2013,32
abr. 2013,55
mai. 2013,39
jun. 2013,24
jul. 2013,27
ago. 2013,17
set. 2013,11
out. 2013,11
nov. 2013,11
dez. 2013,16
jan. 2014,10
fev. 2014,15
mar. 2014,23
abr. 2014,28
mai. 2014,32
jun. 2014,26
jul. 2014,26
ago. 2014,15
set. 2014,14
out. 2014,14
nov. 2014,18
dez. 2014,10
jan. 2015,8
fev. 2015,15
mar. 2015,39
abr. 2015,61
mai. 2015,66
jun. 2015,48
jul. 2015,33
ago. 2015,21
set. 2015,17
out. 2015,8
nov. 2015,12
dez. 2015,15
jan. 2016,19
fev. 2016,77
mar. 2016,71
abr. 2016,47
mai. 2016,24
jun. 2016,19
jul. 2016,15
ago. 2016,12
set. 2016,0
out. 2016,12
nov. 2016,13
dez. 2016,11
jan. 2017,14
fev. 2017,15
mar. 2017,14
abr. 2017,15
mai. 2017,12
jun. 2017,12
jul. 2017,9
ago. 2017,12
set. 2017,7
out. 2017,9
nov. 2017,10
dez. 2017,12
jan. 2018,9
fev. 2018,14
mar. 2018,15
abr. 2018,18
mai. 2018,12
jun. 2018,13
jul. 2018,12
ago. 2018,6
set. 2018,8
out. 2018,8
nov. 2018,11
dez. 2018,11
jan. 2019,15
fev. 2019,22
mar. 2019,29
abr. 2019,44
mai. 2019,70
jun. 2019,54
jul. 2019,45
ago. 2019,33
set. 2019,26
out. 2019,17
nov. 2019,17
dez. 2019,20
