Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,15
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,10
fev. 2008,13
mar. 2008,51
abr. 2008,100
mai. 2008,33
jun. 2008,11
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,15
fev. 2009,26
mar. 2009,45
abr. 2009,28
mai. 2009,20
jun. 2009,10
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,16
mar. 2010,28
abr. 2010,24
mai. 2010,31
jun. 2010,22
jul. 2010,0
ago. 2010,0
set. 2010,10
out. 2010,0
nov. 2010,0
dez. 2010,9
jan. 2011,7
fev. 2011,11
mar. 2011,19
abr. 2011,25
mai. 2011,20
jun. 2011,20
jul. 2011,24
ago. 2011,15
set. 2011,9
out. 2011,9
nov. 2011,9
dez. 2011,11
jan. 2012,15
fev. 2012,14
mar. 2012,25
abr. 2012,31
mai. 2012,24
jun. 2012,17
jul. 2012,16
ago. 2012,11
set. 2012,13
out. 2012,7
nov. 2012,7
dez. 2012,7
jan. 2013,8
fev. 2013,14
mar. 2013,22
abr. 2013,30
mai. 2013,23
jun. 2013,16
jul. 2013,14
ago. 2013,9
set. 2013,5
out. 2013,5
nov. 2013,5
dez. 2013,5
jan. 2014,5
fev. 2014,7
mar. 2014,10
abr. 2014,18
mai. 2014,18
jun. 2014,14
jul. 2014,11
ago. 2014,8
set. 2014,6
out. 2014,9
nov. 2014,7
dez. 2014,7
jan. 2015,7
fev. 2015,10
mar. 2015,25
abr. 2015,38
mai. 2015,42
jun. 2015,30
jul. 2015,26
ago. 2015,14
set. 2015,9
out. 2015,5
nov. 2015,6
dez. 2015,11
jan. 2016,12
fev. 2016,50
mar. 2016,58
abr. 2016,35
mai. 2016,21
jun. 2016,13
jul. 2016,9
ago. 2016,7
set. 2016,6
out. 2016,5
nov. 2016,5
dez. 2016,6
jan. 2017,8
fev. 2017,7
mar. 2017,9
abr. 2017,11
mai. 2017,8
jun. 2017,6
jul. 2017,6
ago. 2017,5
set. 2017,4
out. 2017,4
nov. 2017,4
dez. 2017,6
jan. 2018,5
fev. 2018,5
mar. 2018,7
abr. 2018,10
mai. 2018,9
jun. 2018,6
jul. 2018,5
ago. 2018,4
set. 2018,5
out. 2018,4
nov. 2018,4
dez. 2018,5
jan. 2019,7
fev. 2019,11
mar. 2019,18
abr. 2019,30
mai. 2019,42
jun. 2019,38
jul. 2019,29
ago. 2019,19
set. 2019,17
out. 2019,10
nov. 2019,11
dez. 2019,8
