Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,27
fev. 2011,40
mar. 2011,66
abr. 2011,52
mai. 2011,45
jun. 2011,31
jul. 2011,33
ago. 2011,23
set. 2011,0
out. 2011,0
nov. 2011,18
dez. 2011,29
jan. 2012,26
fev. 2012,31
mar. 2012,38
abr. 2012,66
mai. 2012,100
jun. 2012,28
jul. 2012,24
ago. 2012,19
set. 2012,20
out. 2012,18
nov. 2012,17
dez. 2012,0
jan. 2013,0
fev. 2013,25
mar. 2013,23
abr. 2013,35
mai. 2013,30
jun. 2013,34
jul. 2013,28
ago. 2013,24
set. 2013,14
out. 2013,16
nov. 2013,15
dez. 2013,13
jan. 2014,13
fev. 2014,22
mar. 2014,18
abr. 2014,27
mai. 2014,25
jun. 2014,28
jul. 2014,17
ago. 2014,15
set. 2014,12
out. 2014,0
nov. 2014,0
dez. 2014,0
jan. 2015,17
fev. 2015,26
mar. 2015,61
abr. 2015,83
mai. 2015,78
jun. 2015,44
jul. 2015,33
ago. 2015,21
set. 2015,17
out. 2015,8
nov. 2015,11
dez. 2015,24
jan. 2016,27
fev. 2016,54
mar. 2016,42
abr. 2016,38
mai. 2016,35
jun. 2016,26
jul. 2016,15
ago. 2016,11
set. 2016,14
out. 2016,0
nov. 2016,10
dez. 2016,0
jan. 2017,12
fev. 2017,24
mar. 2017,41
abr. 2017,42
mai. 2017,30
jun. 2017,16
jul. 2017,15
ago. 2017,9
set. 2017,11
out. 2017,0
nov. 2017,0
dez. 2017,0
jan. 2018,13
fev. 2018,13
mar. 2018,17
abr. 2018,18
mai. 2018,12
jun. 2018,13
jul. 2018,8
ago. 2018,8
set. 2018,15
out. 2018,8
nov. 2018,0
dez. 2018,0
jan. 2019,10
fev. 2019,23
mar. 2019,32
abr. 2019,29
mai. 2019,42
jun. 2019,26
jul. 2019,14
ago. 2019,0
set. 2019,0
out. 2019,10
nov. 2019,12
dez. 2019,8
