Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,29
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,67
abr. 2008,100
mai. 2008,48
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,42
mar. 2009,32
abr. 2009,27
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,29
fev. 2010,0
mar. 2010,30
abr. 2010,44
mai. 2010,0
jun. 2010,0
jul. 2010,29
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,21
fev. 2011,46
mar. 2011,62
abr. 2011,62
mai. 2011,32
jun. 2011,19
jul. 2011,23
ago. 2011,20
set. 2011,10
out. 2011,10
nov. 2011,12
dez. 2011,13
jan. 2012,15
fev. 2012,21
mar. 2012,28
abr. 2012,59
mai. 2012,95
jun. 2012,29
jul. 2012,16
ago. 2012,9
set. 2012,9
out. 2012,9
nov. 2012,9
dez. 2012,6
jan. 2013,8
fev. 2013,16
mar. 2013,19
abr. 2013,36
mai. 2013,32
jun. 2013,27
jul. 2013,24
ago. 2013,19
set. 2013,11
out. 2013,10
nov. 2013,8
dez. 2013,4
jan. 2014,8
fev. 2014,16
mar. 2014,20
abr. 2014,22
mai. 2014,26
jun. 2014,23
jul. 2014,17
ago. 2014,12
set. 2014,11
out. 2014,9
nov. 2014,3
dez. 2014,6
jan. 2015,12
fev. 2015,21
mar. 2015,54
abr. 2015,86
mai. 2015,80
jun. 2015,41
jul. 2015,24
ago. 2015,17
set. 2015,10
out. 2015,8
nov. 2015,8
dez. 2015,19
jan. 2016,23
fev. 2016,68
mar. 2016,54
abr. 2016,48
mai. 2016,36
jun. 2016,28
jul. 2016,17
ago. 2016,10
set. 2016,9
out. 2016,6
nov. 2016,6
dez. 2016,6
jan. 2017,13
fev. 2017,21
mar. 2017,37
abr. 2017,49
mai. 2017,31
jun. 2017,18
jul. 2017,11
ago. 2017,9
set. 2017,6
out. 2017,6
nov. 2017,5
dez. 2017,4
jan. 2018,8
fev. 2018,14
mar. 2018,16
abr. 2018,16
mai. 2018,7
jun. 2018,7
jul. 2018,3
ago. 2018,5
set. 2018,6
out. 2018,4
nov. 2018,3
dez. 2018,5
jan. 2019,6
fev. 2019,14
mar. 2019,21
abr. 2019,31
mai. 2019,32
jun. 2019,19
jul. 2019,14
ago. 2019,13
set. 2019,7
out. 2019,6
nov. 2019,6
dez. 2019,6
