Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,0
fev. 2011,0
mar. 2011,0
abr. 2011,0
mai. 2011,0
jun. 2011,0
jul. 2011,0
ago. 2011,0
set. 2011,0
out. 2011,0
nov. 2011,0
dez. 2011,0
jan. 2012,0
fev. 2012,0
mar. 2012,0
abr. 2012,0
mai. 2012,0
jun. 2012,0
jul. 2012,0
ago. 2012,0
set. 2012,0
out. 2012,0
nov. 2012,0
dez. 2012,0
jan. 2013,0
fev. 2013,0
mar. 2013,0
abr. 2013,0
mai. 2013,0
jun. 2013,0
jul. 2013,0
ago. 2013,0
set. 2013,0
out. 2013,0
nov. 2013,0
dez. 2013,9
jan. 2014,11
fev. 2014,13
mar. 2014,17
abr. 2014,27
mai. 2014,25
jun. 2014,16
jul. 2014,10
ago. 2014,7
set. 2014,7
out. 2014,8
nov. 2014,10
dez. 2014,9
jan. 2015,9
fev. 2015,15
mar. 2015,26
abr. 2015,39
mai. 2015,47
jun. 2015,24
jul. 2015,10
ago. 2015,9
set. 2015,9
out. 2015,9
nov. 2015,12
dez. 2015,39
jan. 2016,46
fev. 2016,94
mar. 2016,85
abr. 2016,64
mai. 2016,33
jun. 2016,17
jul. 2016,11
ago. 2016,9
set. 2016,10
out. 2016,9
nov. 2016,10
dez. 2016,12
jan. 2017,11
fev. 2017,13
mar. 2017,16
abr. 2017,17
mai. 2017,16
jun. 2017,14
jul. 2017,6
ago. 2017,7
set. 2017,8
out. 2017,10
nov. 2017,10
dez. 2017,11
jan. 2018,10
fev. 2018,11
mar. 2018,11
abr. 2018,13
mai. 2018,11
jun. 2018,8
jul. 2018,5
ago. 2018,6
set. 2018,7
out. 2018,7
nov. 2018,11
dez. 2018,10
jan. 2019,12
fev. 2019,21
mar. 2019,41
abr. 2019,70
mai. 2019,100
jun. 2019,70
jul. 2019,22
ago. 2019,12
set. 2019,11
out. 2019,12
nov. 2019,12
dez. 2019,14
