Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,0
fev. 2011,0
mar. 2011,50
abr. 2011,73
mai. 2011,31
jun. 2011,52
jul. 2011,35
ago. 2011,33
set. 2011,32
out. 2011,0
nov. 2011,0
dez. 2011,0
jan. 2012,0
fev. 2012,32
mar. 2012,0
abr. 2012,0
mai. 2012,33
jun. 2012,37
jul. 2012,0
ago. 2012,0
set. 2012,0
out. 2012,20
nov. 2012,0
dez. 2012,0
jan. 2013,31
fev. 2013,65
mar. 2013,72
abr. 2013,52
mai. 2013,38
jun. 2013,25
jul. 2013,0
ago. 2013,0
set. 2013,0
out. 2013,18
nov. 2013,0
dez. 2013,19
jan. 2014,27
fev. 2014,0
mar. 2014,20
abr. 2014,15
mai. 2014,31
jun. 2014,0
jul. 2014,24
ago. 2014,0
set. 2014,0
out. 2014,0
nov. 2014,0
dez. 2014,0
jan. 2015,0
fev. 2015,25
mar. 2015,25
abr. 2015,34
mai. 2015,62
jun. 2015,58
jul. 2015,41
ago. 2015,30
set. 2015,0
out. 2015,29
nov. 2015,23
dez. 2015,57
jan. 2016,54
fev. 2016,95
mar. 2016,81
abr. 2016,50
mai. 2016,26
jun. 2016,18
jul. 2016,0
ago. 2016,0
set. 2016,0
out. 2016,0
nov. 2016,0
dez. 2016,0
jan. 2017,17
fev. 2017,16
mar. 2017,20
abr. 2017,0
mai. 2017,18
jun. 2017,0
jul. 2017,0
ago. 2017,0
set. 2017,0
out. 2017,0
nov. 2017,0
dez. 2017,23
jan. 2018,21
fev. 2018,0
mar. 2018,0
abr. 2018,27
mai. 2018,23
jun. 2018,16
jul. 2018,15
ago. 2018,15
set. 2018,0
out. 2018,0
nov. 2018,0
dez. 2018,0
jan. 2019,32
fev. 2019,37
mar. 2019,48
abr. 2019,68
mai. 2019,82
jun. 2019,100
jul. 2019,63
ago. 2019,40
set. 2019,27
out. 2019,31
nov. 2019,20
dez. 2019,35
