Date,Interest
jan. 2004,0
fev. 2004,44
mar. 2004,18
abr. 2004,20
mai. 2004,14
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,10
nov. 2004,18
dez. 2004,0
jan. 2005,10
fev. 2005,21
mar. 2005,25
abr. 2005,23
mai. 2005,16
jun. 2005,18
jul. 2005,6
ago. 2005,10
set. 2005,8
out. 2005,13
nov. 2005,18
dez. 2005,6
jan. 2006,15
fev. 2006,34
mar. 2006,39
abr. 2006,25
mai. 2006,16
jun. 2006,8
jul. 2006,5
ago. 2006,8
set. 2006,7
out. 2006,10
nov. 2006,19
dez. 2006,11
jan. 2007,12
fev. 2007,23
mar. 2007,25
abr. 2007,22
mai. 2007,14
jun. 2007,11
jul. 2007,9
ago. 2007,8
set. 2007,10
out. 2007,16
nov. 2007,20
dez. 2007,10
jan. 2008,14
fev. 2008,21
mar. 2008,42
abr. 2008,98
mai. 2008,47
jun. 2008,23
jul. 2008,5
ago. 2008,6
set. 2008,8
out. 2008,10
nov. 2008,18
dez. 2008,11
jan. 2009,12
fev. 2009,20
mar. 2009,24
abr. 2009,19
mai. 2009,12
jun. 2009,9
jul. 2009,4
ago. 2009,8
set. 2009,7
out. 2009,8
nov. 2009,14
dez. 2009,13
jan. 2010,22
fev. 2010,41
mar. 2010,58
abr. 2010,34
mai. 2010,29
jun. 2010,14
jul. 2010,6
ago. 2010,8
set. 2010,9
out. 2010,9
nov. 2010,15
dez. 2010,9
jan. 2011,12
fev. 2011,19
mar. 2011,24
abr. 2011,23
mai. 2011,15
jun. 2011,10
jul. 2011,7
ago. 2011,8
set. 2011,10
out. 2011,11
nov. 2011,16
dez. 2011,11
jan. 2012,10
fev. 2012,13
mar. 2012,14
abr. 2012,13
mai. 2012,12
jun. 2012,9
jul. 2012,5
ago. 2012,6
set. 2012,7
out. 2012,7
nov. 2012,9
dez. 2012,8
jan. 2013,19
fev. 2013,32
mar. 2013,32
abr. 2013,39
mai. 2013,26
jun. 2013,15
jul. 2013,7
ago. 2013,8
set. 2013,7
out. 2013,9
nov. 2013,11
dez. 2013,11
jan. 2014,13
fev. 2014,21
mar. 2014,24
abr. 2014,29
mai. 2014,28
jun. 2014,16
jul. 2014,9
ago. 2014,9
set. 2014,9
out. 2014,9
nov. 2014,13
dez. 2014,12
jan. 2015,15
fev. 2015,33
mar. 2015,54
abr. 2015,69
mai. 2015,87
jun. 2015,33
jul. 2015,12
ago. 2015,11
set. 2015,9
out. 2015,9
nov. 2015,17
dez. 2015,36
jan. 2016,48
fev. 2016,100
mar. 2016,98
abr. 2016,58
mai. 2016,37
jun. 2016,22
jul. 2016,8
ago. 2016,9
set. 2016,9
out. 2016,11
nov. 2016,13
dez. 2016,12
jan. 2017,15
fev. 2017,22
mar. 2017,26
abr. 2017,23
mai. 2017,23
jun. 2017,16
jul. 2017,6
ago. 2017,8
set. 2017,9
out. 2017,13
nov. 2017,13
dez. 2017,13
jan. 2018,18
fev. 2018,29
mar. 2018,39
abr. 2018,48
mai. 2018,35
jun. 2018,18
jul. 2018,9
ago. 2018,9
set. 2018,9
out. 2018,10
nov. 2018,18
dez. 2018,18
jan. 2019,22
fev. 2019,38
mar. 2019,54
abr. 2019,65
mai. 2019,72
jun. 2019,43
jul. 2019,17
ago. 2019,12
set. 2019,12
out. 2019,11
nov. 2019,12
dez. 2019,16
