Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,29
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,13
jul. 2006,0
ago. 2006,10
set. 2006,0
out. 2006,9
nov. 2006,14
dez. 2006,12
jan. 2007,10
fev. 2007,9
mar. 2007,8
abr. 2007,12
mai. 2007,11
jun. 2007,7
jul. 2007,7
ago. 2007,9
set. 2007,13
out. 2007,18
nov. 2007,14
dez. 2007,9
jan. 2008,17
fev. 2008,16
mar. 2008,22
abr. 2008,48
mai. 2008,23
jun. 2008,15
jul. 2008,6
ago. 2008,9
set. 2008,6
out. 2008,10
nov. 2008,14
dez. 2008,11
jan. 2009,12
fev. 2009,16
mar. 2009,15
abr. 2009,12
mai. 2009,8
jun. 2009,5
jul. 2009,5
ago. 2009,8
set. 2009,8
out. 2009,8
nov. 2009,10
dez. 2009,11
jan. 2010,12
fev. 2010,21
mar. 2010,27
abr. 2010,17
mai. 2010,14
jun. 2010,11
jul. 2010,15
ago. 2010,9
set. 2010,8
out. 2010,7
nov. 2010,18
dez. 2010,11
jan. 2011,10
fev. 2011,14
mar. 2011,17
abr. 2011,14
mai. 2011,10
jun. 2011,9
jul. 2011,7
ago. 2011,6
set. 2011,8
out. 2011,9
nov. 2011,13
dez. 2011,11
jan. 2012,10
fev. 2012,11
mar. 2012,11
abr. 2012,10
mai. 2012,9
jun. 2012,9
jul. 2012,6
ago. 2012,8
set. 2012,8
out. 2012,8
nov. 2012,9
dez. 2012,8
jan. 2013,13
fev. 2013,19
mar. 2013,19
abr. 2013,20
mai. 2013,14
jun. 2013,10
jul. 2013,6
ago. 2013,7
set. 2013,9
out. 2013,11
nov. 2013,12
dez. 2013,13
jan. 2014,12
fev. 2014,11
mar. 2014,15
abr. 2014,17
mai. 2014,13
jun. 2014,9
jul. 2014,7
ago. 2014,12
set. 2014,8
out. 2014,13
nov. 2014,18
dez. 2014,17
jan. 2015,13
fev. 2015,19
mar. 2015,31
abr. 2015,34
mai. 2015,30
jun. 2015,16
jul. 2015,11
ago. 2015,10
set. 2015,11
out. 2015,11
nov. 2015,22
dez. 2015,55
jan. 2016,45
fev. 2016,100
mar. 2016,85
abr. 2016,43
mai. 2016,26
jun. 2016,21
jul. 2016,11
ago. 2016,12
set. 2016,12
out. 2016,12
nov. 2016,20
dez. 2016,19
jan. 2017,20
fev. 2017,23
mar. 2017,20
abr. 2017,17
mai. 2017,14
jun. 2017,12
jul. 2017,7
ago. 2017,14
set. 2017,11
out. 2017,18
nov. 2017,21
dez. 2017,23
jan. 2018,20
fev. 2018,22
mar. 2018,24
abr. 2018,21
mai. 2018,14
jun. 2018,12
jul. 2018,9
ago. 2018,13
set. 2018,12
out. 2018,15
nov. 2018,26
dez. 2018,17
jan. 2019,17
fev. 2019,21
mar. 2019,28
abr. 2019,30
mai. 2019,29
jun. 2019,18
jul. 2019,14
ago. 2019,14
set. 2019,15
out. 2019,13
nov. 2019,19
dez. 2019,26
