Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,12
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,14
nov. 2007,10
dez. 2007,0
jan. 2008,0
fev. 2008,16
mar. 2008,16
abr. 2008,58
mai. 2008,23
jun. 2008,13
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,16
dez. 2008,0
jan. 2009,8
fev. 2009,13
mar. 2009,16
abr. 2009,11
mai. 2009,8
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,6
out. 2009,0
nov. 2009,11
dez. 2009,9
jan. 2010,14
fev. 2010,25
mar. 2010,32
abr. 2010,22
mai. 2010,14
jun. 2010,0
jul. 2010,0
ago. 2010,6
set. 2010,0
out. 2010,0
nov. 2010,12
dez. 2010,6
jan. 2011,7
fev. 2011,13
mar. 2011,17
abr. 2011,13
mai. 2011,7
jun. 2011,6
jul. 2011,3
ago. 2011,5
set. 2011,4
out. 2011,6
nov. 2011,10
dez. 2011,7
jan. 2012,7
fev. 2012,8
mar. 2012,9
abr. 2012,7
mai. 2012,6
jun. 2012,6
jul. 2012,3
ago. 2012,5
set. 2012,5
out. 2012,6
nov. 2012,7
dez. 2012,6
jan. 2013,12
fev. 2013,20
mar. 2013,20
abr. 2013,23
mai. 2013,12
jun. 2013,10
jul. 2013,4
ago. 2013,5
set. 2013,6
out. 2013,7
nov. 2013,9
dez. 2013,11
jan. 2014,9
fev. 2014,13
mar. 2014,13
abr. 2014,19
mai. 2014,15
jun. 2014,8
jul. 2014,4
ago. 2014,7
set. 2014,6
out. 2014,7
nov. 2014,13
dez. 2014,13
jan. 2015,10
fev. 2015,17
mar. 2015,35
abr. 2015,39
mai. 2015,36
jun. 2015,15
jul. 2015,6
ago. 2015,7
set. 2015,6
out. 2015,5
nov. 2015,16
dez. 2015,48
jan. 2016,46
fev. 2016,100
mar. 2016,81
abr. 2016,45
mai. 2016,24
jun. 2016,17
jul. 2016,5
ago. 2016,8
set. 2016,6
out. 2016,8
nov. 2016,14
dez. 2016,12
jan. 2017,12
fev. 2017,17
mar. 2017,19
abr. 2017,13
mai. 2017,11
jun. 2017,6
jul. 2017,0
ago. 2017,5
set. 2017,5
out. 2017,12
nov. 2017,11
dez. 2017,13
jan. 2018,8
fev. 2018,17
mar. 2018,20
abr. 2018,19
mai. 2018,11
jun. 2018,8
jul. 2018,3
ago. 2018,6
set. 2018,6
out. 2018,8
nov. 2018,16
dez. 2018,11
jan. 2019,9
fev. 2019,19
mar. 2019,25
abr. 2019,27
mai. 2019,24
jun. 2019,14
jul. 2019,7
ago. 2019,6
set. 2019,6
out. 2019,7
nov. 2019,11
dez. 2019,15
