Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,28
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,24
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,28
fev. 2010,42
mar. 2010,55
abr. 2010,41
mai. 2010,27
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,19
nov. 2010,0
dez. 2010,0
jan. 2011,17
fev. 2011,17
mar. 2011,24
abr. 2011,24
mai. 2011,16
jun. 2011,15
jul. 2011,20
ago. 2011,0
set. 2011,11
out. 2011,23
nov. 2011,41
dez. 2011,26
jan. 2012,18
fev. 2012,20
mar. 2012,21
abr. 2012,17
mai. 2012,14
jun. 2012,14
jul. 2012,8
ago. 2012,7
set. 2012,11
out. 2012,11
nov. 2012,10
dez. 2012,19
jan. 2013,23
fev. 2013,46
mar. 2013,42
abr. 2013,52
mai. 2013,41
jun. 2013,27
jul. 2013,10
ago. 2013,11
set. 2013,9
out. 2013,8
nov. 2013,14
dez. 2013,0
jan. 2014,18
fev. 2014,29
mar. 2014,35
abr. 2014,35
mai. 2014,20
jun. 2014,25
jul. 2014,9
ago. 2014,12
set. 2014,10
out. 2014,8
nov. 2014,14
dez. 2014,14
jan. 2015,16
fev. 2015,38
mar. 2015,62
abr. 2015,100
mai. 2015,75
jun. 2015,31
jul. 2015,19
ago. 2015,13
set. 2015,16
out. 2015,13
nov. 2015,14
dez. 2015,33
jan. 2016,45
fev. 2016,80
mar. 2016,68
abr. 2016,50
mai. 2016,28
jun. 2016,12
jul. 2016,9
ago. 2016,10
set. 2016,9
out. 2016,15
nov. 2016,8
dez. 2016,18
jan. 2017,11
fev. 2017,19
mar. 2017,27
abr. 2017,26
mai. 2017,23
jun. 2017,19
jul. 2017,9
ago. 2017,11
set. 2017,12
out. 2017,16
nov. 2017,15
dez. 2017,18
jan. 2018,24
fev. 2018,34
mar. 2018,46
abr. 2018,59
mai. 2018,36
jun. 2018,22
jul. 2018,15
ago. 2018,13
set. 2018,12
out. 2018,17
nov. 2018,24
dez. 2018,24
jan. 2019,33
fev. 2019,42
mar. 2019,67
abr. 2019,87
mai. 2019,79
jun. 2019,56
jul. 2019,23
ago. 2019,13
set. 2019,14
out. 2019,17
nov. 2019,16
dez. 2019,23
