Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,66
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,19
abr. 2006,28
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,15
dez. 2006,0
jan. 2007,0
fev. 2007,21
mar. 2007,0
abr. 2007,19
mai. 2007,0
jun. 2007,0
jul. 2007,11
ago. 2007,0
set. 2007,0
out. 2007,10
nov. 2007,0
dez. 2007,0
jan. 2008,20
fev. 2008,13
mar. 2008,37
abr. 2008,65
mai. 2008,30
jun. 2008,14
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,8
nov. 2008,9
dez. 2008,0
jan. 2009,11
fev. 2009,17
mar. 2009,19
abr. 2009,16
mai. 2009,13
jun. 2009,0
jul. 2009,0
ago. 2009,8
set. 2009,0
out. 2009,0
nov. 2009,9
dez. 2009,19
jan. 2010,31
fev. 2010,51
mar. 2010,76
abr. 2010,53
mai. 2010,35
jun. 2010,17
jul. 2010,10
ago. 2010,8
set. 2010,11
out. 2010,6
nov. 2010,13
dez. 2010,7
jan. 2011,17
fev. 2011,20
mar. 2011,27
abr. 2011,29
mai. 2011,15
jun. 2011,13
jul. 2011,10
ago. 2011,9
set. 2011,10
out. 2011,16
nov. 2011,26
dez. 2011,17
jan. 2012,13
fev. 2012,16
mar. 2012,16
abr. 2012,19
mai. 2012,16
jun. 2012,13
jul. 2012,8
ago. 2012,8
set. 2012,10
out. 2012,9
nov. 2012,11
dez. 2012,14
jan. 2013,28
fev. 2013,44
mar. 2013,43
abr. 2013,51
mai. 2013,42
jun. 2013,24
jul. 2013,11
ago. 2013,10
set. 2013,9
out. 2013,8
nov. 2013,12
dez. 2013,12
jan. 2014,18
fev. 2014,22
mar. 2014,28
abr. 2014,39
mai. 2014,33
jun. 2014,20
jul. 2014,12
ago. 2014,9
set. 2014,8
out. 2014,9
nov. 2014,12
dez. 2014,13
jan. 2015,21
fev. 2015,38
mar. 2015,60
abr. 2015,89
mai. 2015,81
jun. 2015,36
jul. 2015,15
ago. 2015,12
set. 2015,12
out. 2015,8
nov. 2015,15
dez. 2015,38
jan. 2016,49
fev. 2016,100
mar. 2016,87
abr. 2016,66
mai. 2016,34
jun. 2016,16
jul. 2016,8
ago. 2016,8
set. 2016,9
out. 2016,8
nov. 2016,11
dez. 2016,15
jan. 2017,16
fev. 2017,22
mar. 2017,27
abr. 2017,29
mai. 2017,28
jun. 2017,18
jul. 2017,8
ago. 2017,10
set. 2017,10
out. 2017,11
nov. 2017,13
dez. 2017,16
jan. 2018,24
fev. 2018,32
mar. 2018,45
abr. 2018,59
mai. 2018,38
jun. 2018,21
jul. 2018,11
ago. 2018,9
set. 2018,9
out. 2018,11
nov. 2018,20
dez. 2018,22
jan. 2019,29
fev. 2019,37
mar. 2019,61
abr. 2019,78
mai. 2019,93
jun. 2019,59
jul. 2019,21
ago. 2019,14
set. 2019,15
out. 2019,15
nov. 2019,15
dez. 2019,22
