Date,Interest
jan. 2004,0
fev. 2004,10
mar. 2004,9
abr. 2004,17
mai. 2004,8
jun. 2004,8
jul. 2004,0
ago. 2004,6
set. 2004,7
out. 2004,8
nov. 2004,8
dez. 2004,0
jan. 2005,0
fev. 2005,8
mar. 2005,9
abr. 2005,9
mai. 2005,8
jun. 2005,9
jul. 2005,4
ago. 2005,5
set. 2005,5
out. 2005,6
nov. 2005,15
dez. 2005,6
jan. 2006,6
fev. 2006,16
mar. 2006,17
abr. 2006,17
mai. 2006,13
jun. 2006,8
jul. 2006,4
ago. 2006,6
set. 2006,4
out. 2006,6
nov. 2006,9
dez. 2006,4
jan. 2007,6
fev. 2007,10
mar. 2007,17
abr. 2007,18
mai. 2007,13
jun. 2007,8
jul. 2007,5
ago. 2007,6
set. 2007,5
out. 2007,9
nov. 2007,12
dez. 2007,6
jan. 2008,6
fev. 2008,9
mar. 2008,31
abr. 2008,91
mai. 2008,33
jun. 2008,16
jul. 2008,5
ago. 2008,5
set. 2008,5
out. 2008,6
nov. 2008,11
dez. 2008,7
jan. 2009,7
fev. 2009,14
mar. 2009,25
abr. 2009,20
mai. 2009,15
jun. 2009,10
jul. 2009,5
ago. 2009,6
set. 2009,7
out. 2009,5
nov. 2009,8
dez. 2009,4
jan. 2010,7
fev. 2010,15
mar. 2010,29
abr. 2010,27
mai. 2010,18
jun. 2010,9
jul. 2010,5
ago. 2010,5
set. 2010,5
out. 2010,5
nov. 2010,8
dez. 2010,6
jan. 2011,6
fev. 2011,12
mar. 2011,18
abr. 2011,16
mai. 2011,10
jun. 2011,7
jul. 2011,4
ago. 2011,5
set. 2011,5
out. 2011,5
nov. 2011,7
dez. 2011,6
jan. 2012,6
fev. 2012,7
mar. 2012,9
abr. 2012,8
mai. 2012,8
jun. 2012,7
jul. 2012,4
ago. 2012,4
set. 2012,4
out. 2012,4
nov. 2012,5
dez. 2012,4
jan. 2013,11
fev. 2013,19
mar. 2013,40
abr. 2013,70
mai. 2013,20
jun. 2013,12
jul. 2013,6
ago. 2013,4
set. 2013,4
out. 2013,4
nov. 2013,5
dez. 2013,4
jan. 2014,4
fev. 2014,8
mar. 2014,10
abr. 2014,13
mai. 2014,11
jun. 2014,6
jul. 2014,4
ago. 2014,4
set. 2014,4
out. 2014,5
nov. 2014,6
dez. 2014,4
jan. 2015,4
fev. 2015,9
mar. 2015,24
abr. 2015,37
mai. 2015,35
jun. 2015,14
jul. 2015,6
ago. 2015,5
set. 2015,5
out. 2015,5
nov. 2015,8
dez. 2015,18
jan. 2016,29
fev. 2016,94
mar. 2016,100
abr. 2016,67
mai. 2016,26
jun. 2016,11
jul. 2016,5
ago. 2016,5
set. 2016,5
out. 2016,5
nov. 2016,6
dez. 2016,6
jan. 2017,8
fev. 2017,9
mar. 2017,10
abr. 2017,10
mai. 2017,7
jun. 2017,5
jul. 2017,3
ago. 2017,4
set. 2017,4
out. 2017,6
nov. 2017,6
dez. 2017,5
jan. 2018,6
fev. 2018,6
mar. 2018,9
abr. 2018,9
mai. 2018,6
jun. 2018,4
jul. 2018,3
ago. 2018,3
set. 2018,3
out. 2018,4
nov. 2018,5
dez. 2018,6
jan. 2019,9
fev. 2019,17
mar. 2019,37
abr. 2019,70
mai. 2019,71
jun. 2019,28
jul. 2019,9
ago. 2019,6
set. 2019,6
out. 2019,5
nov. 2019,6
dez. 2019,6
