Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,20
abr. 2008,44
mai. 2008,18
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,17
abr. 2009,28
mai. 2009,19
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,23
mar. 2010,36
abr. 2010,45
mai. 2010,19
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,11
fev. 2011,11
mar. 2011,20
abr. 2011,22
mai. 2011,12
jun. 2011,10
jul. 2011,15
ago. 2011,9
set. 2011,10
out. 2011,9
nov. 2011,10
dez. 2011,13
jan. 2012,17
fev. 2012,15
mar. 2012,17
abr. 2012,18
mai. 2012,12
jun. 2012,11
jul. 2012,12
ago. 2012,5
set. 2012,8
out. 2012,7
nov. 2012,8
dez. 2012,8
jan. 2013,19
fev. 2013,39
mar. 2013,68
abr. 2013,92
mai. 2013,38
jun. 2013,29
jul. 2013,12
ago. 2013,10
set. 2013,5
out. 2013,6
nov. 2013,7
dez. 2013,5
jan. 2014,10
fev. 2014,12
mar. 2014,17
abr. 2014,21
mai. 2014,21
jun. 2014,15
jul. 2014,9
ago. 2014,9
set. 2014,8
out. 2014,7
nov. 2014,7
dez. 2014,8
jan. 2015,10
fev. 2015,14
mar. 2015,38
abr. 2015,60
mai. 2015,46
jun. 2015,27
jul. 2015,13
ago. 2015,12
set. 2015,7
out. 2015,9
nov. 2015,12
dez. 2015,25
jan. 2016,35
fev. 2016,97
mar. 2016,88
abr. 2016,67
mai. 2016,27
jun. 2016,11
jul. 2016,7
ago. 2016,6
set. 2016,7
out. 2016,5
nov. 2016,8
dez. 2016,7
jan. 2017,12
fev. 2017,11
mar. 2017,14
abr. 2017,13
mai. 2017,9
jun. 2017,7
jul. 2017,5
ago. 2017,5
set. 2017,5
out. 2017,7
nov. 2017,7
dez. 2017,7
jan. 2018,10
fev. 2018,9
mar. 2018,13
abr. 2018,13
mai. 2018,10
jun. 2018,6
jul. 2018,5
ago. 2018,6
set. 2018,5
out. 2018,7
nov. 2018,8
dez. 2018,11
jan. 2019,19
fev. 2019,32
mar. 2019,52
abr. 2019,100
mai. 2019,91
jun. 2019,42
jul. 2019,13
ago. 2019,10
set. 2019,9
out. 2019,9
nov. 2019,8
dez. 2019,12
