Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,14
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,15
abr. 2007,9
mai. 2007,9
jun. 2007,0
jul. 2007,0
ago. 2007,5
set. 2007,0
out. 2007,5
nov. 2007,0
dez. 2007,5
jan. 2008,5
fev. 2008,8
mar. 2008,27
abr. 2008,66
mai. 2008,20
jun. 2008,10
jul. 2008,4
ago. 2008,0
set. 2008,3
out. 2008,4
nov. 2008,6
dez. 2008,8
jan. 2009,8
fev. 2009,13
mar. 2009,21
abr. 2009,21
mai. 2009,16
jun. 2009,9
jul. 2009,5
ago. 2009,7
set. 2009,5
out. 2009,4
nov. 2009,0
dez. 2009,6
jan. 2010,10
fev. 2010,20
mar. 2010,35
abr. 2010,39
mai. 2010,25
jun. 2010,14
jul. 2010,6
ago. 2010,5
set. 2010,3
out. 2010,6
nov. 2010,9
dez. 2010,9
jan. 2011,10
fev. 2011,11
mar. 2011,17
abr. 2011,18
mai. 2011,10
jun. 2011,8
jul. 2011,8
ago. 2011,6
set. 2011,6
out. 2011,6
nov. 2011,8
dez. 2011,8
jan. 2012,10
fev. 2012,9
mar. 2012,11
abr. 2012,13
mai. 2012,10
jun. 2012,9
jul. 2012,7
ago. 2012,5
set. 2012,5
out. 2012,5
nov. 2012,6
dez. 2012,7
jan. 2013,17
fev. 2013,32
mar. 2013,61
abr. 2013,83
mai. 2013,31
jun. 2013,18
jul. 2013,8
ago. 2013,6
set. 2013,5
out. 2013,4
nov. 2013,5
dez. 2013,5
jan. 2014,7
fev. 2014,9
mar. 2014,12
abr. 2014,19
mai. 2014,16
jun. 2014,10
jul. 2014,6
ago. 2014,6
set. 2014,6
out. 2014,6
nov. 2014,6
dez. 2014,6
jan. 2015,7
fev. 2015,12
mar. 2015,34
abr. 2015,57
mai. 2015,50
jun. 2015,23
jul. 2015,11
ago. 2015,8
set. 2015,6
out. 2015,7
nov. 2015,8
dez. 2015,22
jan. 2016,34
fev. 2016,85
mar. 2016,100
abr. 2016,73
mai. 2016,31
jun. 2016,10
jul. 2016,6
ago. 2016,4
set. 2016,5
out. 2016,4
nov. 2016,6
dez. 2016,8
jan. 2017,10
fev. 2017,10
mar. 2017,11
abr. 2017,10
mai. 2017,7
jun. 2017,5
jul. 2017,4
ago. 2017,4
set. 2017,4
out. 2017,5
nov. 2017,6
dez. 2017,7
jan. 2018,9
fev. 2018,9
mar. 2018,10
abr. 2018,9
mai. 2018,7
jun. 2018,5
jul. 2018,4
ago. 2018,4
set. 2018,4
out. 2018,4
nov. 2018,5
dez. 2018,8
jan. 2019,14
fev. 2019,24
mar. 2019,49
abr. 2019,88
mai. 2019,88
jun. 2019,39
jul. 2019,12
ago. 2019,7
set. 2019,7
out. 2019,6
nov. 2019,7
dez. 2019,9
