Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,45
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,42
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,45
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,48
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,37
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,13
fev. 2011,27
mar. 2011,32
abr. 2011,29
mai. 2011,17
jun. 2011,14
jul. 2011,8
ago. 2011,0
set. 2011,12
out. 2011,13
nov. 2011,13
dez. 2011,13
jan. 2012,14
fev. 2012,13
mar. 2012,15
abr. 2012,14
mai. 2012,9
jun. 2012,11
jul. 2012,13
ago. 2012,13
set. 2012,12
out. 2012,10
nov. 2012,11
dez. 2012,12
jan. 2013,36
fev. 2013,55
mar. 2013,32
abr. 2013,28
mai. 2013,15
jun. 2013,10
jul. 2013,9
ago. 2013,5
set. 2013,7
out. 2013,11
nov. 2013,16
dez. 2013,11
jan. 2014,16
fev. 2014,15
mar. 2014,16
abr. 2014,9
mai. 2014,10
jun. 2014,12
jul. 2014,8
ago. 2014,10
set. 2014,9
out. 2014,20
nov. 2014,14
dez. 2014,15
jan. 2015,10
fev. 2015,19
mar. 2015,29
abr. 2015,27
mai. 2015,26
jun. 2015,19
jul. 2015,9
ago. 2015,14
set. 2015,14
out. 2015,15
nov. 2015,28
dez. 2015,59
jan. 2016,55
fev. 2016,100
mar. 2016,98
abr. 2016,53
mai. 2016,25
jun. 2016,18
jul. 2016,12
ago. 2016,15
set. 2016,18
out. 2016,14
nov. 2016,17
dez. 2016,17
jan. 2017,19
fev. 2017,16
mar. 2017,24
abr. 2017,20
mai. 2017,21
jun. 2017,16
jul. 2017,13
ago. 2017,15
set. 2017,13
out. 2017,15
nov. 2017,25
dez. 2017,19
jan. 2018,28
fev. 2018,16
mar. 2018,21
abr. 2018,18
mai. 2018,13
jun. 2018,14
jul. 2018,14
ago. 2018,18
set. 2018,15
out. 2018,21
nov. 2018,23
dez. 2018,19
jan. 2019,16
fev. 2019,24
mar. 2019,55
abr. 2019,53
mai. 2019,33
jun. 2019,22
jul. 2019,15
ago. 2019,18
set. 2019,18
out. 2019,18
nov. 2019,17
dez. 2019,23
