Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,100
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,45
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,40
jan. 2010,39
fev. 2010,0
mar. 2010,63
abr. 2010,51
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,12
fev. 2011,20
mar. 2011,19
abr. 2011,17
mai. 2011,12
jun. 2011,0
jul. 2011,0
ago. 2011,0
set. 2011,5
out. 2011,0
nov. 2011,6
dez. 2011,7
jan. 2012,0
fev. 2012,7
mar. 2012,13
abr. 2012,13
mai. 2012,11
jun. 2012,5
jul. 2012,7
ago. 2012,6
set. 2012,5
out. 2012,0
nov. 2012,0
dez. 2012,14
jan. 2013,54
fev. 2013,53
mar. 2013,38
abr. 2013,29
mai. 2013,20
jun. 2013,7
jul. 2013,5
ago. 2013,4
set. 2013,0
out. 2013,0
nov. 2013,4
dez. 2013,0
jan. 2014,5
fev. 2014,7
mar. 2014,12
abr. 2014,11
mai. 2014,10
jun. 2014,5
jul. 2014,4
ago. 2014,6
set. 2014,5
out. 2014,4
nov. 2014,5
dez. 2014,6
jan. 2015,9
fev. 2015,11
mar. 2015,23
abr. 2015,32
mai. 2015,22
jun. 2015,17
jul. 2015,8
ago. 2015,5
set. 2015,9
out. 2015,5
nov. 2015,12
dez. 2015,35
jan. 2016,62
fev. 2016,65
mar. 2016,40
abr. 2016,29
mai. 2016,12
jun. 2016,8
jul. 2016,4
ago. 2016,3
set. 2016,3
out. 2016,5
nov. 2016,3
dez. 2016,6
jan. 2017,7
fev. 2017,7
mar. 2017,9
abr. 2017,8
mai. 2017,8
jun. 2017,5
jul. 2017,0
ago. 2017,4
set. 2017,7
out. 2017,4
nov. 2017,6
dez. 2017,9
jan. 2018,8
fev. 2018,7
mar. 2018,6
abr. 2018,6
mai. 2018,4
jun. 2018,2
jul. 2018,3
ago. 2018,3
set. 2018,4
out. 2018,4
nov. 2018,5
dez. 2018,13
jan. 2019,11
fev. 2019,30
mar. 2019,72
abr. 2019,76
mai. 2019,49
jun. 2019,28
jul. 2019,9
ago. 2019,8
set. 2019,8
out. 2019,7
nov. 2019,7
dez. 2019,14
