Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,100
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,66
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,48
mar. 2006,45
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,28
nov. 2006,39
dez. 2006,0
jan. 2007,24
fev. 2007,52
mar. 2007,57
abr. 2007,44
mai. 2007,22
jun. 2007,23
jul. 2007,25
ago. 2007,0
set. 2007,15
out. 2007,16
nov. 2007,40
dez. 2007,31
jan. 2008,16
fev. 2008,23
mar. 2008,54
abr. 2008,80
mai. 2008,37
jun. 2008,24
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,29
dez. 2008,0
jan. 2009,17
fev. 2009,28
mar. 2009,54
abr. 2009,92
mai. 2009,76
jun. 2009,38
jul. 2009,18
ago. 2009,16
set. 2009,20
out. 2009,17
nov. 2009,66
dez. 2009,95
jan. 2010,70
fev. 2010,72
mar. 2010,54
abr. 2010,44
mai. 2010,21
jun. 2010,15
jul. 2010,0
ago. 2010,13
set. 2010,23
out. 2010,16
nov. 2010,37
dez. 2010,26
jan. 2011,24
fev. 2011,23
mar. 2011,34
abr. 2011,31
mai. 2011,19
jun. 2011,13
jul. 2011,12
ago. 2011,9
set. 2011,12
out. 2011,19
nov. 2011,26
dez. 2011,18
jan. 2012,18
fev. 2012,35
mar. 2012,55
abr. 2012,50
mai. 2012,36
jun. 2012,27
jul. 2012,17
ago. 2012,13
set. 2012,13
out. 2012,15
nov. 2012,19
dez. 2012,15
jan. 2013,32
fev. 2013,39
mar. 2013,34
abr. 2013,32
mai. 2013,22
jun. 2013,19
jul. 2013,12
ago. 2013,7
set. 2013,7
out. 2013,12
nov. 2013,15
dez. 2013,13
jan. 2014,11
fev. 2014,12
mar. 2014,16
abr. 2014,16
mai. 2014,14
jun. 2014,12
jul. 2014,9
ago. 2014,8
set. 2014,11
out. 2014,11
nov. 2014,15
dez. 2014,9
jan. 2015,9
fev. 2015,18
mar. 2015,30
abr. 2015,38
mai. 2015,39
jun. 2015,31
jul. 2015,15
ago. 2015,15
set. 2015,13
out. 2015,13
nov. 2015,22
dez. 2015,49
jan. 2016,52
fev. 2016,87
mar. 2016,58
abr. 2016,38
mai. 2016,21
jun. 2016,14
jul. 2016,8
ago. 2016,10
set. 2016,9
out. 2016,12
nov. 2016,17
dez. 2016,12
jan. 2017,17
fev. 2017,19
mar. 2017,20
abr. 2017,15
mai. 2017,12
jun. 2017,9
jul. 2017,6
ago. 2017,7
set. 2017,8
out. 2017,10
nov. 2017,12
dez. 2017,11
jan. 2018,13
fev. 2018,19
mar. 2018,21
abr. 2018,18
mai. 2018,15
jun. 2018,10
jul. 2018,7
ago. 2018,6
set. 2018,7
out. 2018,10
nov. 2018,13
dez. 2018,12
jan. 2019,10
fev. 2019,14
mar. 2019,21
abr. 2019,27
mai. 2019,31
jun. 2019,24
jul. 2019,12
ago. 2019,10
set. 2019,9
out. 2019,12
nov. 2019,15
dez. 2019,20
