Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,100
mai. 2009,67
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,63
dez. 2009,99
jan. 2010,96
fev. 2010,86
mar. 2010,0
abr. 2010,48
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,25
fev. 2011,18
mar. 2011,18
abr. 2011,22
mai. 2011,0
jun. 2011,12
jul. 2011,18
ago. 2011,10
set. 2011,11
out. 2011,10
nov. 2011,16
dez. 2011,17
jan. 2012,13
fev. 2012,42
mar. 2012,76
abr. 2012,57
mai. 2012,49
jun. 2012,26
jul. 2012,20
ago. 2012,12
set. 2012,19
out. 2012,12
nov. 2012,17
dez. 2012,22
jan. 2013,47
fev. 2013,47
mar. 2013,33
abr. 2013,39
mai. 2013,25
jun. 2013,20
jul. 2013,17
ago. 2013,0
set. 2013,7
out. 2013,7
nov. 2013,13
dez. 2013,14
jan. 2014,12
fev. 2014,14
mar. 2014,18
abr. 2014,18
mai. 2014,18
jun. 2014,18
jul. 2014,12
ago. 2014,0
set. 2014,9
out. 2014,8
nov. 2014,8
dez. 2014,0
jan. 2015,7
fev. 2015,17
mar. 2015,36
abr. 2015,48
mai. 2015,45
jun. 2015,36
jul. 2015,13
ago. 2015,16
set. 2015,13
out. 2015,0
nov. 2015,23
dez. 2015,58
jan. 2016,55
fev. 2016,63
mar. 2016,35
abr. 2016,23
mai. 2016,8
jun. 2016,8
jul. 2016,7
ago. 2016,7
set. 2016,6
out. 2016,7
nov. 2016,12
dez. 2016,13
jan. 2017,20
fev. 2017,21
mar. 2017,20
abr. 2017,14
mai. 2017,12
jun. 2017,6
jul. 2017,6
ago. 2017,0
set. 2017,6
out. 2017,5
nov. 2017,10
dez. 2017,10
jan. 2018,18
fev. 2018,20
mar. 2018,17
abr. 2018,16
mai. 2018,19
jun. 2018,8
jul. 2018,6
ago. 2018,4
set. 2018,0
out. 2018,5
nov. 2018,12
dez. 2018,12
jan. 2019,7
fev. 2019,14
mar. 2019,24
abr. 2019,26
mai. 2019,40
jun. 2019,29
jul. 2019,18
ago. 2019,8
set. 2019,7
out. 2019,9
nov. 2019,19
dez. 2019,25
