Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,0
fev. 2011,20
mar. 2011,40
abr. 2011,62
mai. 2011,53
jun. 2011,28
jul. 2011,20
ago. 2011,34
set. 2011,16
out. 2011,0
nov. 2011,15
dez. 2011,0
jan. 2012,11
fev. 2012,26
mar. 2012,23
abr. 2012,51
mai. 2012,45
jun. 2012,33
jul. 2012,34
ago. 2012,20
set. 2012,15
out. 2012,0
nov. 2012,0
dez. 2012,0
jan. 2013,13
fev. 2013,11
mar. 2013,18
abr. 2013,50
mai. 2013,46
jun. 2013,29
jul. 2013,31
ago. 2013,25
set. 2013,0
out. 2013,10
nov. 2013,0
dez. 2013,0
jan. 2014,6
fev. 2014,11
mar. 2014,8
abr. 2014,11
mai. 2014,18
jun. 2014,16
jul. 2014,11
ago. 2014,10
set. 2014,6
out. 2014,8
nov. 2014,8
dez. 2014,0
jan. 2015,0
fev. 2015,12
mar. 2015,45
abr. 2015,70
mai. 2015,66
jun. 2015,42
jul. 2015,25
ago. 2015,17
set. 2015,9
out. 2015,0
nov. 2015,10
dez. 2015,22
jan. 2016,26
fev. 2016,94
mar. 2016,100
abr. 2016,76
mai. 2016,44
jun. 2016,35
jul. 2016,18
ago. 2016,9
set. 2016,8
out. 2016,6
nov. 2016,0
dez. 2016,0
jan. 2017,10
fev. 2017,11
mar. 2017,19
abr. 2017,19
mai. 2017,14
jun. 2017,13
jul. 2017,10
ago. 2017,12
set. 2017,9
out. 2017,6
nov. 2017,0
dez. 2017,0
jan. 2018,6
fev. 2018,15
mar. 2018,14
abr. 2018,27
mai. 2018,50
jun. 2018,39
jul. 2018,28
ago. 2018,12
set. 2018,8
out. 2018,8
nov. 2018,6
dez. 2018,11
jan. 2019,7
fev. 2019,20
mar. 2019,26
abr. 2019,51
mai. 2019,62
jun. 2019,47
jul. 2019,42
ago. 2019,34
set. 2019,29
out. 2019,18
nov. 2019,13
dez. 2019,11
