Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,39
abr. 2008,100
mai. 2008,45
jun. 2008,22
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,30
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,36
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,12
fev. 2011,12
mar. 2011,24
abr. 2011,26
mai. 2011,18
jun. 2011,19
jul. 2011,16
ago. 2011,10
set. 2011,8
out. 2011,10
nov. 2011,12
dez. 2011,16
jan. 2012,19
fev. 2012,24
mar. 2012,48
abr. 2012,28
mai. 2012,23
jun. 2012,17
jul. 2012,11
ago. 2012,8
set. 2012,10
out. 2012,5
nov. 2012,5
dez. 2012,4
jan. 2013,4
fev. 2013,6
mar. 2013,11
abr. 2013,19
mai. 2013,20
jun. 2013,15
jul. 2013,12
ago. 2013,6
set. 2013,6
out. 2013,6
nov. 2013,5
dez. 2013,5
jan. 2014,6
fev. 2014,7
mar. 2014,7
abr. 2014,12
mai. 2014,15
jun. 2014,14
jul. 2014,10
ago. 2014,7
set. 2014,7
out. 2014,8
nov. 2014,7
dez. 2014,7
jan. 2015,8
fev. 2015,15
mar. 2015,53
abr. 2015,67
mai. 2015,50
jun. 2015,27
jul. 2015,12
ago. 2015,9
set. 2015,9
out. 2015,9
nov. 2015,13
dez. 2015,34
jan. 2016,35
fev. 2016,83
mar. 2016,59
abr. 2016,25
mai. 2016,15
jun. 2016,8
jul. 2016,7
ago. 2016,5
set. 2016,4
out. 2016,5
nov. 2016,3
dez. 2016,4
jan. 2017,6
fev. 2017,5
mar. 2017,9
abr. 2017,9
mai. 2017,8
jun. 2017,6
jul. 2017,5
ago. 2017,5
set. 2017,6
out. 2017,4
nov. 2017,4
dez. 2017,3
jan. 2018,4
fev. 2018,5
mar. 2018,8
abr. 2018,12
mai. 2018,11
jun. 2018,7
jul. 2018,6
ago. 2018,5
set. 2018,5
out. 2018,5
nov. 2018,5
dez. 2018,5
jan. 2019,5
fev. 2019,8
mar. 2019,15
abr. 2019,24
mai. 2019,33
jun. 2019,28
jul. 2019,19
ago. 2019,16
set. 2019,16
out. 2019,11
nov. 2019,6
dez. 2019,6
