Date,Interest
jan. 2004,16
fev. 2004,0
mar. 2004,21
abr. 2004,12
mai. 2004,10
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,13
dez. 2004,0
jan. 2005,0
fev. 2005,15
mar. 2005,15
abr. 2005,18
mai. 2005,11
jun. 2005,8
jul. 2005,0
ago. 2005,11
set. 2005,5
out. 2005,12
nov. 2005,9
dez. 2005,0
jan. 2006,4
fev. 2006,9
mar. 2006,18
abr. 2006,15
mai. 2006,11
jun. 2006,8
jul. 2006,4
ago. 2006,5
set. 2006,4
out. 2006,5
nov. 2006,9
dez. 2006,3
jan. 2007,10
fev. 2007,15
mar. 2007,39
abr. 2007,39
mai. 2007,28
jun. 2007,11
jul. 2007,6
ago. 2007,10
set. 2007,8
out. 2007,14
nov. 2007,19
dez. 2007,11
jan. 2008,13
fev. 2008,10
mar. 2008,47
abr. 2008,100
mai. 2008,34
jun. 2008,17
jul. 2008,6
ago. 2008,6
set. 2008,7
out. 2008,7
nov. 2008,12
dez. 2008,7
jan. 2009,5
fev. 2009,10
mar. 2009,31
abr. 2009,17
mai. 2009,9
jun. 2009,6
jul. 2009,3
ago. 2009,3
set. 2009,5
out. 2009,6
nov. 2009,12
dez. 2009,6
jan. 2010,9
fev. 2010,16
mar. 2010,29
abr. 2010,41
mai. 2010,17
jun. 2010,9
jul. 2010,4
ago. 2010,5
set. 2010,7
out. 2010,5
nov. 2010,8
dez. 2010,5
jan. 2011,9
fev. 2011,26
mar. 2011,30
abr. 2011,21
mai. 2011,12
jun. 2011,8
jul. 2011,6
ago. 2011,6
set. 2011,6
out. 2011,6
nov. 2011,9
dez. 2011,7
jan. 2012,7
fev. 2012,9
mar. 2012,12
abr. 2012,10
mai. 2012,8
jun. 2012,7
jul. 2012,4
ago. 2012,5
set. 2012,4
out. 2012,4
nov. 2012,7
dez. 2012,4
jan. 2013,12
fev. 2013,24
mar. 2013,30
abr. 2013,33
mai. 2013,14
jun. 2013,8
jul. 2013,5
ago. 2013,5
set. 2013,5
out. 2013,6
nov. 2013,10
dez. 2013,4
jan. 2014,7
fev. 2014,7
mar. 2014,13
abr. 2014,19
mai. 2014,19
jun. 2014,8
jul. 2014,6
ago. 2014,6
set. 2014,6
out. 2014,6
nov. 2014,7
dez. 2014,5
jan. 2015,7
fev. 2015,13
mar. 2015,29
abr. 2015,35
mai. 2015,25
jun. 2015,14
jul. 2015,8
ago. 2015,9
set. 2015,8
out. 2015,8
nov. 2015,11
dez. 2015,30
jan. 2016,49
fev. 2016,89
mar. 2016,80
abr. 2016,51
mai. 2016,22
jun. 2016,13
jul. 2016,7
ago. 2016,15
set. 2016,12
out. 2016,7
nov. 2016,8
dez. 2016,7
jan. 2017,10
fev. 2017,11
mar. 2017,17
abr. 2017,10
mai. 2017,6
jun. 2017,5
jul. 2017,4
ago. 2017,4
set. 2017,7
out. 2017,8
nov. 2017,8
dez. 2017,6
jan. 2018,8
fev. 2018,7
mar. 2018,8
abr. 2018,9
mai. 2018,6
jun. 2018,4
jul. 2018,4
ago. 2018,4
set. 2018,4
out. 2018,4
nov. 2018,6
dez. 2018,5
jan. 2019,9
fev. 2019,13
mar. 2019,21
abr. 2019,26
mai. 2019,25
jun. 2019,16
jul. 2019,7
ago. 2019,6
set. 2019,6
out. 2019,7
nov. 2019,10
dez. 2019,13
