Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,20
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,9
dez. 2006,8
jan. 2007,8
fev. 2007,14
mar. 2007,22
abr. 2007,19
mai. 2007,16
jun. 2007,7
jul. 2007,0
ago. 2007,0
set. 2007,8
out. 2007,11
nov. 2007,15
dez. 2007,8
jan. 2008,14
fev. 2008,10
mar. 2008,19
abr. 2008,63
mai. 2008,15
jun. 2008,11
jul. 2008,8
ago. 2008,8
set. 2008,6
out. 2008,8
nov. 2008,8
dez. 2008,8
jan. 2009,7
fev. 2009,11
mar. 2009,16
abr. 2009,11
mai. 2009,12
jun. 2009,7
jul. 2009,5
ago. 2009,8
set. 2009,6
out. 2009,7
nov. 2009,15
dez. 2009,8
jan. 2010,9
fev. 2010,12
mar. 2010,20
abr. 2010,25
mai. 2010,11
jun. 2010,11
jul. 2010,17
ago. 2010,9
set. 2010,9
out. 2010,9
nov. 2010,8
dez. 2010,9
jan. 2011,10
fev. 2011,20
mar. 2011,19
abr. 2011,16
mai. 2011,10
jun. 2011,6
jul. 2011,4
ago. 2011,7
set. 2011,7
out. 2011,7
nov. 2011,8
dez. 2011,10
jan. 2012,8
fev. 2012,9
mar. 2012,11
abr. 2012,9
mai. 2012,6
jun. 2012,7
jul. 2012,4
ago. 2012,6
set. 2012,6
out. 2012,7
nov. 2012,9
dez. 2012,8
jan. 2013,11
fev. 2013,17
mar. 2013,18
abr. 2013,20
mai. 2013,9
jun. 2013,7
jul. 2013,6
ago. 2013,5
set. 2013,7
out. 2013,10
nov. 2013,12
dez. 2013,10
jan. 2014,11
fev. 2014,11
mar. 2014,13
abr. 2014,14
mai. 2014,15
jun. 2014,9
jul. 2014,7
ago. 2014,8
set. 2014,8
out. 2014,10
nov. 2014,12
dez. 2014,10
jan. 2015,15
fev. 2015,16
mar. 2015,24
abr. 2015,25
mai. 2015,19
jun. 2015,12
jul. 2015,9
ago. 2015,11
set. 2015,11
out. 2015,12
nov. 2015,17
dez. 2015,46
jan. 2016,52
fev. 2016,100
mar. 2016,76
abr. 2016,46
mai. 2016,18
jun. 2016,12
jul. 2016,8
ago. 2016,9
set. 2016,12
out. 2016,13
nov. 2016,16
dez. 2016,14
jan. 2017,19
fev. 2017,19
mar. 2017,17
abr. 2017,13
mai. 2017,13
jun. 2017,10
jul. 2017,8
ago. 2017,9
set. 2017,14
out. 2017,15
nov. 2017,14
dez. 2017,15
jan. 2018,26
fev. 2018,19
mar. 2018,16
abr. 2018,18
mai. 2018,11
jun. 2018,9
jul. 2018,9
ago. 2018,9
set. 2018,11
out. 2018,14
nov. 2018,17
dez. 2018,17
jan. 2019,23
fev. 2019,20
mar. 2019,28
abr. 2019,22
mai. 2019,20
jun. 2019,15
jul. 2019,10
ago. 2019,10
set. 2019,12
out. 2019,14
nov. 2019,18
dez. 2019,22
