Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,20
abr. 2007,22
mai. 2007,16
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,10
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,25
abr. 2008,64
mai. 2008,18
jun. 2008,10
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,15
abr. 2009,10
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,7
dez. 2009,0
jan. 2010,0
fev. 2010,10
mar. 2010,19
abr. 2010,27
mai. 2010,12
jun. 2010,9
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,9
fev. 2011,20
mar. 2011,20
abr. 2011,15
mai. 2011,7
jun. 2011,5
jul. 2011,0
ago. 2011,4
set. 2011,3
out. 2011,3
nov. 2011,5
dez. 2011,5
jan. 2012,7
fev. 2012,6
mar. 2012,9
abr. 2012,7
mai. 2012,4
jun. 2012,5
jul. 2012,2
ago. 2012,3
set. 2012,3
out. 2012,4
nov. 2012,7
dez. 2012,2
jan. 2013,8
fev. 2013,19
mar. 2013,22
abr. 2013,22
mai. 2013,8
jun. 2013,4
jul. 2013,3
ago. 2013,3
set. 2013,4
out. 2013,5
nov. 2013,9
dez. 2013,4
jan. 2014,7
fev. 2014,8
mar. 2014,11
abr. 2014,12
mai. 2014,14
jun. 2014,7
jul. 2014,4
ago. 2014,5
set. 2014,4
out. 2014,5
nov. 2014,7
dez. 2014,5
jan. 2015,7
fev. 2015,14
mar. 2015,27
abr. 2015,30
mai. 2015,18
jun. 2015,9
jul. 2015,6
ago. 2015,7
set. 2015,6
out. 2015,6
nov. 2015,12
dez. 2015,39
jan. 2016,48
fev. 2016,100
mar. 2016,78
abr. 2016,42
mai. 2016,16
jun. 2016,9
jul. 2016,3
ago. 2016,5
set. 2016,5
out. 2016,5
nov. 2016,8
dez. 2016,6
jan. 2017,11
fev. 2017,14
mar. 2017,14
abr. 2017,9
mai. 2017,7
jun. 2017,4
jul. 2017,2
ago. 2017,3
set. 2017,5
out. 2017,8
nov. 2017,6
dez. 2017,5
jan. 2018,11
fev. 2018,8
mar. 2018,9
abr. 2018,10
mai. 2018,4
jun. 2018,3
jul. 2018,3
ago. 2018,2
set. 2018,4
out. 2018,3
nov. 2018,6
dez. 2018,6
jan. 2019,13
fev. 2019,15
mar. 2019,22
abr. 2019,18
mai. 2019,15
jun. 2019,9
jul. 2019,4
ago. 2019,4
set. 2019,5
out. 2019,5
nov. 2019,9
dez. 2019,11
