Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,63
abr. 2008,67
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,61
abr. 2010,37
mai. 2010,0
jun. 2010,0
jul. 2010,25
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,14
fev. 2011,36
mar. 2011,48
abr. 2011,37
mai. 2011,14
jun. 2011,16
jul. 2011,22
ago. 2011,14
set. 2011,0
out. 2011,13
nov. 2011,17
dez. 2011,20
jan. 2012,20
fev. 2012,19
mar. 2012,28
abr. 2012,19
mai. 2012,15
jun. 2012,10
jul. 2012,9
ago. 2012,8
set. 2012,7
out. 2012,6
nov. 2012,0
dez. 2012,12
jan. 2013,22
fev. 2013,39
mar. 2013,55
abr. 2013,62
mai. 2013,29
jun. 2013,23
jul. 2013,16
ago. 2013,13
set. 2013,6
out. 2013,7
nov. 2013,10
dez. 2013,10
jan. 2014,17
fev. 2014,9
mar. 2014,22
abr. 2014,41
mai. 2014,36
jun. 2014,20
jul. 2014,13
ago. 2014,14
set. 2014,11
out. 2014,12
nov. 2014,14
dez. 2014,12
jan. 2015,14
fev. 2015,23
mar. 2015,60
abr. 2015,77
mai. 2015,52
jun. 2015,29
jul. 2015,21
ago. 2015,16
set. 2015,15
out. 2015,14
nov. 2015,17
dez. 2015,46
jan. 2016,66
fev. 2016,100
mar. 2016,83
abr. 2016,64
mai. 2016,26
jun. 2016,16
jul. 2016,8
ago. 2016,8
set. 2016,8
out. 2016,7
nov. 2016,11
dez. 2016,13
jan. 2017,17
fev. 2017,17
mar. 2017,16
abr. 2017,14
mai. 2017,9
jun. 2017,6
jul. 2017,7
ago. 2017,5
set. 2017,9
out. 2017,9
nov. 2017,11
dez. 2017,11
jan. 2018,16
fev. 2018,16
mar. 2018,12
abr. 2018,18
mai. 2018,7
jun. 2018,8
jul. 2018,6
ago. 2018,4
set. 2018,5
out. 2018,10
nov. 2018,13
dez. 2018,13
jan. 2019,20
fev. 2019,23
mar. 2019,36
abr. 2019,59
mai. 2019,43
jun. 2019,29
jul. 2019,15
ago. 2019,16
set. 2019,10
out. 2019,14
nov. 2019,26
dez. 2019,33
