Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,21
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,33
abr. 2007,26
mai. 2007,25
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,10
nov. 2007,13
dez. 2007,12
jan. 2008,20
fev. 2008,9
mar. 2008,45
abr. 2008,76
mai. 2008,16
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,11
dez. 2008,0
jan. 2009,8
fev. 2009,0
mar. 2009,19
abr. 2009,13
mai. 2009,6
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,6
dez. 2009,11
jan. 2010,11
fev. 2010,21
mar. 2010,40
abr. 2010,41
mai. 2010,15
jun. 2010,6
jul. 2010,0
ago. 2010,5
set. 2010,6
out. 2010,0
nov. 2010,6
dez. 2010,0
jan. 2011,15
fev. 2011,34
mar. 2011,39
abr. 2011,26
mai. 2011,13
jun. 2011,10
jul. 2011,11
ago. 2011,8
set. 2011,5
out. 2011,6
nov. 2011,11
dez. 2011,11
jan. 2012,11
fev. 2012,10
mar. 2012,14
abr. 2012,12
mai. 2012,10
jun. 2012,9
jul. 2012,8
ago. 2012,5
set. 2012,4
out. 2012,5
nov. 2012,5
dez. 2012,6
jan. 2013,18
fev. 2013,30
mar. 2013,39
abr. 2013,47
mai. 2013,22
jun. 2013,14
jul. 2013,10
ago. 2013,8
set. 2013,4
out. 2013,5
nov. 2013,7
dez. 2013,6
jan. 2014,11
fev. 2014,9
mar. 2014,17
abr. 2014,29
mai. 2014,26
jun. 2014,12
jul. 2014,9
ago. 2014,8
set. 2014,6
out. 2014,6
nov. 2014,6
dez. 2014,6
jan. 2015,9
fev. 2015,16
mar. 2015,41
abr. 2015,60
mai. 2015,40
jun. 2015,20
jul. 2015,13
ago. 2015,13
set. 2015,10
out. 2015,9
nov. 2015,12
dez. 2015,36
jan. 2016,73
fev. 2016,100
mar. 2016,90
abr. 2016,66
mai. 2016,24
jun. 2016,12
jul. 2016,6
ago. 2016,7
set. 2016,8
out. 2016,6
nov. 2016,9
dez. 2016,10
jan. 2017,16
fev. 2017,15
mar. 2017,15
abr. 2017,10
mai. 2017,7
jun. 2017,5
jul. 2017,5
ago. 2017,3
set. 2017,7
out. 2017,7
nov. 2017,7
dez. 2017,8
jan. 2018,12
fev. 2018,10
mar. 2018,8
abr. 2018,11
mai. 2018,7
jun. 2018,5
jul. 2018,4
ago. 2018,2
set. 2018,3
out. 2018,5
nov. 2018,6
dez. 2018,7
jan. 2019,14
fev. 2019,17
mar. 2019,26
abr. 2019,40
mai. 2019,41
jun. 2019,24
jul. 2019,11
ago. 2019,9
set. 2019,8
out. 2019,9
nov. 2019,14
dez. 2019,21
