Date,Interest
jan. 2004,4
fev. 2004,5
mar. 2004,5
abr. 2004,5
mai. 2004,7
jun. 2004,5
jul. 2004,0
ago. 2004,3
set. 2004,0
out. 2004,4
nov. 2004,11
dez. 2004,3
jan. 2005,3
fev. 2005,5
mar. 2005,5
abr. 2005,6
mai. 2005,5
jun. 2005,5
jul. 2005,2
ago. 2005,5
set. 2005,4
out. 2005,5
nov. 2005,9
dez. 2005,4
jan. 2006,6
fev. 2006,11
mar. 2006,13
abr. 2006,10
mai. 2006,8
jun. 2006,4
jul. 2006,3
ago. 2006,3
set. 2006,3
out. 2006,4
nov. 2006,6
dez. 2006,4
jan. 2007,4
fev. 2007,7
mar. 2007,12
abr. 2007,13
mai. 2007,11
jun. 2007,7
jul. 2007,4
ago. 2007,4
set. 2007,5
out. 2007,8
nov. 2007,11
dez. 2007,6
jan. 2008,11
fev. 2008,16
mar. 2008,70
abr. 2008,100
mai. 2008,29
jun. 2008,14
jul. 2008,4
ago. 2008,4
set. 2008,4
out. 2008,6
nov. 2008,8
dez. 2008,6
jan. 2009,6
fev. 2009,10
mar. 2009,18
abr. 2009,10
mai. 2009,7
jun. 2009,5
jul. 2009,4
ago. 2009,3
set. 2009,4
out. 2009,3
nov. 2009,5
dez. 2009,3
jan. 2010,4
fev. 2010,7
mar. 2010,10
abr. 2010,11
mai. 2010,9
jun. 2010,6
jul. 2010,4
ago. 2010,4
set. 2010,5
out. 2010,4
nov. 2010,6
dez. 2010,5
jan. 2011,4
fev. 2011,10
mar. 2011,20
abr. 2011,26
mai. 2011,14
jun. 2011,8
jul. 2011,5
ago. 2011,4
set. 2011,5
out. 2011,7
nov. 2011,8
dez. 2011,6
jan. 2012,6
fev. 2012,7
mar. 2012,11
abr. 2012,13
mai. 2012,13
jun. 2012,8
jul. 2012,4
ago. 2012,3
set. 2012,3
out. 2012,3
nov. 2012,3
dez. 2012,3
jan. 2013,5
fev. 2013,10
mar. 2013,19
abr. 2013,22
mai. 2013,9
jun. 2013,6
jul. 2013,3
ago. 2013,2
set. 2013,2
out. 2013,2
nov. 2013,3
dez. 2013,2
jan. 2014,3
fev. 2014,3
mar. 2014,4
abr. 2014,5
mai. 2014,5
jun. 2014,3
jul. 2014,3
ago. 2014,3
set. 2014,3
out. 2014,3
nov. 2014,4
dez. 2014,2
jan. 2015,3
fev. 2015,6
mar. 2015,12
abr. 2015,17
mai. 2015,17
jun. 2015,9
jul. 2015,4
ago. 2015,4
set. 2015,4
out. 2015,3
nov. 2015,6
dez. 2015,14
jan. 2016,13
fev. 2016,34
mar. 2016,29
abr. 2016,23
mai. 2016,9
jun. 2016,5
jul. 2016,3
ago. 2016,2
set. 2016,2
out. 2016,3
nov. 2016,3
dez. 2016,3
jan. 2017,5
fev. 2017,9
mar. 2017,8
abr. 2017,5
mai. 2017,3
jun. 2017,3
jul. 2017,2
ago. 2017,2
set. 2017,2
out. 2017,2
nov. 2017,3
dez. 2017,2
jan. 2018,4
fev. 2018,4
mar. 2018,5
abr. 2018,4
mai. 2018,4
jun. 2018,3
jul. 2018,2
ago. 2018,2
set. 2018,2
out. 2018,2
nov. 2018,3
dez. 2018,3
jan. 2019,3
fev. 2019,9
mar. 2019,8
abr. 2019,11
mai. 2019,13
jun. 2019,8
jul. 2019,4
ago. 2019,3
set. 2019,3
out. 2019,3
nov. 2019,3
dez. 2019,3
