Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,14
out. 2004,13
nov. 2004,0
dez. 2004,0
jan. 2005,16
fev. 2005,18
mar. 2005,18
abr. 2005,0
mai. 2005,15
jun. 2005,11
jul. 2005,0
ago. 2005,10
set. 2005,0
out. 2005,7
nov. 2005,11
dez. 2005,9
jan. 2006,11
fev. 2006,11
mar. 2006,11
abr. 2006,13
mai. 2006,7
jun. 2006,12
jul. 2006,11
ago. 2006,12
set. 2006,6
out. 2006,8
nov. 2006,9
dez. 2006,14
jan. 2007,6
fev. 2007,10
mar. 2007,10
abr. 2007,11
mai. 2007,9
jun. 2007,9
jul. 2007,9
ago. 2007,6
set. 2007,12
out. 2007,17
nov. 2007,16
dez. 2007,11
jan. 2008,18
fev. 2008,20
mar. 2008,69
abr. 2008,92
mai. 2008,25
jun. 2008,17
jul. 2008,10
ago. 2008,11
set. 2008,11
out. 2008,10
nov. 2008,14
dez. 2008,13
jan. 2009,11
fev. 2009,19
mar. 2009,27
abr. 2009,13
mai. 2009,11
jun. 2009,10
jul. 2009,6
ago. 2009,9
set. 2009,10
out. 2009,9
nov. 2009,10
dez. 2009,9
jan. 2010,9
fev. 2010,11
mar. 2010,12
abr. 2010,14
mai. 2010,13
jun. 2010,9
jul. 2010,14
ago. 2010,7
set. 2010,8
out. 2010,10
nov. 2010,11
dez. 2010,12
jan. 2011,11
fev. 2011,13
mar. 2011,23
abr. 2011,31
mai. 2011,14
jun. 2011,12
jul. 2011,10
ago. 2011,9
set. 2011,10
out. 2011,14
nov. 2011,16
dez. 2011,14
jan. 2012,12
fev. 2012,11
mar. 2012,13
abr. 2012,16
mai. 2012,14
jun. 2012,12
jul. 2012,9
ago. 2012,9
set. 2012,9
out. 2012,9
nov. 2012,9
dez. 2012,10
jan. 2013,10
fev. 2013,15
mar. 2013,17
abr. 2013,22
mai. 2013,12
jun. 2013,10
jul. 2013,8
ago. 2013,8
set. 2013,10
out. 2013,11
nov. 2013,12
dez. 2013,11
jan. 2014,10
fev. 2014,8
mar. 2014,10
abr. 2014,14
mai. 2014,13
jun. 2014,13
jul. 2014,10
ago. 2014,10
set. 2014,12
out. 2014,12
nov. 2014,14
dez. 2014,13
jan. 2015,12
fev. 2015,17
mar. 2015,24
abr. 2015,28
mai. 2015,26
jun. 2015,19
jul. 2015,14
ago. 2015,15
set. 2015,17
out. 2015,16
nov. 2015,23
dez. 2015,59
jan. 2016,37
fev. 2016,100
mar. 2016,59
abr. 2016,45
mai. 2016,24
jun. 2016,18
jul. 2016,17
ago. 2016,13
set. 2016,15
out. 2016,16
nov. 2016,20
dez. 2016,19
jan. 2017,25
fev. 2017,32
mar. 2017,31
abr. 2017,24
mai. 2017,18
jun. 2017,17
jul. 2017,13
ago. 2017,14
set. 2017,18
out. 2017,18
nov. 2017,21
dez. 2017,24
jan. 2018,42
fev. 2018,33
mar. 2018,29
abr. 2018,18
mai. 2018,15
jun. 2018,16
jul. 2018,16
ago. 2018,15
set. 2018,17
out. 2018,17
nov. 2018,22
dez. 2018,20
jan. 2019,18
fev. 2019,35
mar. 2019,31
abr. 2019,32
mai. 2019,39
jun. 2019,28
jul. 2019,18
ago. 2019,15
set. 2019,20
out. 2019,20
nov. 2019,21
dez. 2019,23
