Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,31
fev. 2008,0
mar. 2008,78
abr. 2008,100
mai. 2008,42
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,22
abr. 2010,0
mai. 2010,25
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,36
jan. 2011,15
fev. 2011,29
mar. 2011,61
abr. 2011,87
mai. 2011,48
jun. 2011,32
jul. 2011,37
ago. 2011,30
set. 2011,26
out. 2011,22
nov. 2011,23
dez. 2011,23
jan. 2012,23
fev. 2012,23
mar. 2012,45
abr. 2012,62
mai. 2012,58
jun. 2012,51
jul. 2012,25
ago. 2012,23
set. 2012,19
out. 2012,11
nov. 2012,9
dez. 2012,9
jan. 2013,22
fev. 2013,42
mar. 2013,77
abr. 2013,74
mai. 2013,45
jun. 2013,36
jul. 2013,15
ago. 2013,11
set. 2013,9
out. 2013,8
nov. 2013,10
dez. 2013,4
jan. 2014,13
fev. 2014,10
mar. 2014,12
abr. 2014,16
mai. 2014,20
jun. 2014,15
jul. 2014,10
ago. 2014,12
set. 2014,12
out. 2014,10
nov. 2014,12
dez. 2014,9
jan. 2015,13
fev. 2015,22
mar. 2015,49
abr. 2015,63
mai. 2015,60
jun. 2015,35
jul. 2015,17
ago. 2015,13
set. 2015,13
out. 2015,12
nov. 2015,19
dez. 2015,42
jan. 2016,38
fev. 2016,70
mar. 2016,56
abr. 2016,58
mai. 2016,23
jun. 2016,12
jul. 2016,9
ago. 2016,7
set. 2016,7
out. 2016,7
nov. 2016,9
dez. 2016,13
jan. 2017,20
fev. 2017,20
mar. 2017,18
abr. 2017,12
mai. 2017,10
jun. 2017,10
jul. 2017,8
ago. 2017,6
set. 2017,5
out. 2017,9
nov. 2017,10
dez. 2017,7
jan. 2018,15
fev. 2018,16
mar. 2018,21
abr. 2018,14
mai. 2018,11
jun. 2018,10
jul. 2018,7
ago. 2018,8
set. 2018,8
out. 2018,6
nov. 2018,9
dez. 2018,14
jan. 2019,14
fev. 2019,16
mar. 2019,31
abr. 2019,47
mai. 2019,44
jun. 2019,34
jul. 2019,17
ago. 2019,9
set. 2019,11
out. 2019,11
nov. 2019,10
dez. 2019,13
