Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,20
fev. 2006,28
mar. 2006,12
abr. 2006,19
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,11
jan. 2007,9
fev. 2007,11
mar. 2007,19
abr. 2007,29
mai. 2007,18
jun. 2007,7
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,6
nov. 2007,13
dez. 2007,12
jan. 2008,24
fev. 2008,25
mar. 2008,87
abr. 2008,100
mai. 2008,27
jun. 2008,9
jul. 2008,0
ago. 2008,0
set. 2008,6
out. 2008,5
nov. 2008,6
dez. 2008,7
jan. 2009,11
fev. 2009,15
mar. 2009,20
abr. 2009,12
mai. 2009,7
jun. 2009,8
jul. 2009,5
ago. 2009,6
set. 2009,4
out. 2009,4
nov. 2009,5
dez. 2009,0
jan. 2010,5
fev. 2010,8
mar. 2010,18
abr. 2010,20
mai. 2010,19
jun. 2010,11
jul. 2010,10
ago. 2010,7
set. 2010,6
out. 2010,6
nov. 2010,8
dez. 2010,9
jan. 2011,11
fev. 2011,21
mar. 2011,51
abr. 2011,73
mai. 2011,37
jun. 2011,20
jul. 2011,19
ago. 2011,14
set. 2011,13
out. 2011,13
nov. 2011,14
dez. 2011,14
jan. 2012,17
fev. 2012,18
mar. 2012,29
abr. 2012,40
mai. 2012,43
jun. 2012,28
jul. 2012,15
ago. 2012,11
set. 2012,10
out. 2012,6
nov. 2012,6
dez. 2012,8
jan. 2013,16
fev. 2013,31
mar. 2013,57
abr. 2013,62
mai. 2013,30
jun. 2013,20
jul. 2013,9
ago. 2013,6
set. 2013,5
out. 2013,5
nov. 2013,7
dez. 2013,6
jan. 2014,9
fev. 2014,7
mar. 2014,9
abr. 2014,13
mai. 2014,13
jun. 2014,9
jul. 2014,8
ago. 2014,8
set. 2014,8
out. 2014,8
nov. 2014,7
dez. 2014,7
jan. 2015,9
fev. 2015,17
mar. 2015,38
abr. 2015,55
mai. 2015,52
jun. 2015,26
jul. 2015,12
ago. 2015,11
set. 2015,9
out. 2015,8
nov. 2015,13
dez. 2015,33
jan. 2016,35
fev. 2016,63
mar. 2016,58
abr. 2016,53
mai. 2016,21
jun. 2016,10
jul. 2016,7
ago. 2016,5
set. 2016,4
out. 2016,4
nov. 2016,6
dez. 2016,7
jan. 2017,12
fev. 2017,13
mar. 2017,13
abr. 2017,10
mai. 2017,6
jun. 2017,6
jul. 2017,4
ago. 2017,3
set. 2017,4
out. 2017,5
nov. 2017,5
dez. 2017,6
jan. 2018,11
fev. 2018,11
mar. 2018,13
abr. 2018,11
mai. 2018,9
jun. 2018,6
jul. 2018,5
ago. 2018,4
set. 2018,4
out. 2018,4
nov. 2018,6
dez. 2018,7
jan. 2019,9
fev. 2019,14
mar. 2019,22
abr. 2019,37
mai. 2019,39
jun. 2019,26
jul. 2019,12
ago. 2019,7
set. 2019,7
out. 2019,6
nov. 2019,6
dez. 2019,8
