Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,35
abr. 2008,100
mai. 2008,58
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,17
fev. 2011,14
mar. 2011,37
abr. 2011,39
mai. 2011,28
jun. 2011,18
jul. 2011,21
ago. 2011,18
set. 2011,0
out. 2011,0
nov. 2011,19
dez. 2011,0
jan. 2012,0
fev. 2012,10
mar. 2012,25
abr. 2012,43
mai. 2012,31
jun. 2012,34
jul. 2012,24
ago. 2012,32
set. 2012,11
out. 2012,12
nov. 2012,0
dez. 2012,0
jan. 2013,0
fev. 2013,12
mar. 2013,14
abr. 2013,19
mai. 2013,28
jun. 2013,27
jul. 2013,25
ago. 2013,16
set. 2013,10
out. 2013,0
nov. 2013,10
dez. 2013,0
jan. 2014,7
fev. 2014,0
mar. 2014,16
abr. 2014,11
mai. 2014,18
jun. 2014,13
jul. 2014,15
ago. 2014,10
set. 2014,7
out. 2014,6
nov. 2014,8
dez. 2014,6
jan. 2015,8
fev. 2015,20
mar. 2015,40
abr. 2015,66
mai. 2015,34
jun. 2015,17
jul. 2015,9
ago. 2015,7
set. 2015,0
out. 2015,0
nov. 2015,4
dez. 2015,12
jan. 2016,23
fev. 2016,76
mar. 2016,90
abr. 2016,51
mai. 2016,22
jun. 2016,12
jul. 2016,9
ago. 2016,5
set. 2016,0
out. 2016,4
nov. 2016,5
dez. 2016,5
jan. 2017,6
fev. 2017,5
mar. 2017,14
abr. 2017,14
mai. 2017,10
jun. 2017,0
jul. 2017,4
ago. 2017,0
set. 2017,0
out. 2017,5
nov. 2017,0
dez. 2017,0
jan. 2018,0
fev. 2018,10
mar. 2018,13
abr. 2018,29
mai. 2018,25
jun. 2018,17
jul. 2018,17
ago. 2018,14
set. 2018,7
out. 2018,6
nov. 2018,0
dez. 2018,0
jan. 2019,4
fev. 2019,7
mar. 2019,23
abr. 2019,30
mai. 2019,48
jun. 2019,49
jul. 2019,43
ago. 2019,28
set. 2019,15
out. 2019,11
nov. 2019,8
dez. 2019,7
