Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,23
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,18
nov. 2007,18
dez. 2007,0
jan. 2008,24
fev. 2008,19
mar. 2008,37
abr. 2008,100
mai. 2008,33
jun. 2008,17
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,28
dez. 2008,0
jan. 2009,19
fev. 2009,39
mar. 2009,39
abr. 2009,24
mai. 2009,15
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,12
nov. 2009,22
dez. 2009,42
jan. 2010,74
fev. 2010,43
mar. 2010,34
abr. 2010,18
mai. 2010,16
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,15
out. 2010,14
nov. 2010,20
dez. 2010,20
jan. 2011,15
fev. 2011,19
mar. 2011,28
abr. 2011,16
mai. 2011,10
jun. 2011,9
jul. 2011,4
ago. 2011,6
set. 2011,5
out. 2011,8
nov. 2011,12
dez. 2011,7
jan. 2012,7
fev. 2012,11
mar. 2012,10
abr. 2012,8
mai. 2012,9
jun. 2012,9
jul. 2012,5
ago. 2012,6
set. 2012,4
out. 2012,6
nov. 2012,11
dez. 2012,12
jan. 2013,20
fev. 2013,23
mar. 2013,21
abr. 2013,19
mai. 2013,10
jun. 2013,8
jul. 2013,6
ago. 2013,6
set. 2013,5
out. 2013,6
nov. 2013,10
dez. 2013,7
jan. 2014,5
fev. 2014,9
mar. 2014,12
abr. 2014,10
mai. 2014,11
jun. 2014,6
jul. 2014,7
ago. 2014,6
set. 2014,9
out. 2014,11
nov. 2014,13
dez. 2014,7
jan. 2015,6
fev. 2015,8
mar. 2015,14
abr. 2015,17
mai. 2015,17
jun. 2015,11
jul. 2015,5
ago. 2015,6
set. 2015,6
out. 2015,7
nov. 2015,10
dez. 2015,15
jan. 2016,25
fev. 2016,71
mar. 2016,59
abr. 2016,40
mai. 2016,17
jun. 2016,12
jul. 2016,8
ago. 2016,5
set. 2016,7
out. 2016,7
nov. 2016,9
dez. 2016,12
jan. 2017,14
fev. 2017,14
mar. 2017,19
abr. 2017,18
mai. 2017,10
jun. 2017,7
jul. 2017,2
ago. 2017,5
set. 2017,5
out. 2017,6
nov. 2017,11
dez. 2017,6
jan. 2018,6
fev. 2018,9
mar. 2018,8
abr. 2018,10
mai. 2018,9
jun. 2018,6
jul. 2018,4
ago. 2018,4
set. 2018,5
out. 2018,5
nov. 2018,10
dez. 2018,7
jan. 2019,5
fev. 2019,9
mar. 2019,10
abr. 2019,11
mai. 2019,9
jun. 2019,8
jul. 2019,6
ago. 2019,7
set. 2019,6
out. 2019,6
nov. 2019,10
dez. 2019,11
