Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,13
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,10
fev. 2007,0
mar. 2007,23
abr. 2007,38
mai. 2007,45
jun. 2007,9
jul. 2007,7
ago. 2007,7
set. 2007,0
out. 2007,16
nov. 2007,9
dez. 2007,14
jan. 2008,17
fev. 2008,8
mar. 2008,28
abr. 2008,69
mai. 2008,25
jun. 2008,7
jul. 2008,0
ago. 2008,8
set. 2008,11
out. 2008,6
nov. 2008,12
dez. 2008,9
jan. 2009,16
fev. 2009,16
mar. 2009,20
abr. 2009,21
mai. 2009,12
jun. 2009,8
jul. 2009,5
ago. 2009,6
set. 2009,4
out. 2009,10
nov. 2009,10
dez. 2009,11
jan. 2010,14
fev. 2010,12
mar. 2010,23
abr. 2010,14
mai. 2010,9
jun. 2010,7
jul. 2010,28
ago. 2010,10
set. 2010,9
out. 2010,9
nov. 2010,9
dez. 2010,11
jan. 2011,12
fev. 2011,14
mar. 2011,17
abr. 2011,18
mai. 2011,9
jun. 2011,7
jul. 2011,5
ago. 2011,4
set. 2011,6
out. 2011,10
nov. 2011,10
dez. 2011,15
jan. 2012,13
fev. 2012,10
mar. 2012,13
abr. 2012,10
mai. 2012,10
jun. 2012,6
jul. 2012,5
ago. 2012,6
set. 2012,5
out. 2012,9
nov. 2012,8
dez. 2012,9
jan. 2013,12
fev. 2013,17
mar. 2013,19
abr. 2013,18
mai. 2013,10
jun. 2013,6
jul. 2013,5
ago. 2013,5
set. 2013,5
out. 2013,8
nov. 2013,9
dez. 2013,15
jan. 2014,14
fev. 2014,9
mar. 2014,13
abr. 2014,13
mai. 2014,11
jun. 2014,6
jul. 2014,6
ago. 2014,6
set. 2014,7
out. 2014,10
nov. 2014,13
dez. 2014,12
jan. 2015,16
fev. 2015,17
mar. 2015,27
abr. 2015,33
mai. 2015,21
jun. 2015,12
jul. 2015,8
ago. 2015,10
set. 2015,7
out. 2015,10
nov. 2015,17
dez. 2015,45
jan. 2016,49
fev. 2016,98
mar. 2016,100
abr. 2016,66
mai. 2016,22
jun. 2016,13
jul. 2016,8
ago. 2016,9
set. 2016,9
out. 2016,12
nov. 2016,20
dez. 2016,21
jan. 2017,27
fev. 2017,22
mar. 2017,21
abr. 2017,15
mai. 2017,16
jun. 2017,11
jul. 2017,8
ago. 2017,10
set. 2017,13
out. 2017,16
nov. 2017,17
dez. 2017,20
jan. 2018,29
fev. 2018,24
mar. 2018,20
abr. 2018,23
mai. 2018,15
jun. 2018,9
jul. 2018,7
ago. 2018,9
set. 2018,11
out. 2018,15
nov. 2018,22
dez. 2018,25
jan. 2019,31
fev. 2019,23
mar. 2019,29
abr. 2019,26
mai. 2019,26
jun. 2019,20
jul. 2019,10
ago. 2019,9
set. 2019,10
out. 2019,14
nov. 2019,20
dez. 2019,24
