Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,53
mai. 2007,40
jun. 2007,19
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,13
dez. 2007,21
jan. 2008,0
fev. 2008,0
mar. 2008,59
abr. 2008,100
mai. 2008,16
jun. 2008,11
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,16
mar. 2009,0
abr. 2009,14
mai. 2009,13
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,24
mar. 2010,48
abr. 2010,30
mai. 2010,11
jun. 2010,9
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,11
fev. 2011,18
mar. 2011,27
abr. 2011,26
mai. 2011,15
jun. 2011,13
jul. 2011,13
ago. 2011,4
set. 2011,4
out. 2011,4
nov. 2011,13
dez. 2011,10
jan. 2012,13
fev. 2012,9
mar. 2012,14
abr. 2012,12
mai. 2012,16
jun. 2012,11
jul. 2012,11
ago. 2012,4
set. 2012,2
out. 2012,4
nov. 2012,5
dez. 2012,4
jan. 2013,9
fev. 2013,23
mar. 2013,43
abr. 2013,43
mai. 2013,20
jun. 2013,14
jul. 2013,8
ago. 2013,6
set. 2013,4
out. 2013,3
nov. 2013,4
dez. 2013,6
jan. 2014,8
fev. 2014,6
mar. 2014,12
abr. 2014,13
mai. 2014,13
jun. 2014,7
jul. 2014,6
ago. 2014,6
set. 2014,4
out. 2014,7
nov. 2014,7
dez. 2014,7
jan. 2015,10
fev. 2015,19
mar. 2015,54
abr. 2015,81
mai. 2015,56
jun. 2015,24
jul. 2015,14
ago. 2015,9
set. 2015,7
out. 2015,7
nov. 2015,10
dez. 2015,26
jan. 2016,40
fev. 2016,76
mar. 2016,75
abr. 2016,68
mai. 2016,21
jun. 2016,9
jul. 2016,5
ago. 2016,6
set. 2016,4
out. 2016,5
nov. 2016,7
dez. 2016,11
jan. 2017,18
fev. 2017,15
mar. 2017,12
abr. 2017,12
mai. 2017,9
jun. 2017,7
jul. 2017,4
ago. 2017,4
set. 2017,5
out. 2017,5
nov. 2017,6
dez. 2017,6
jan. 2018,10
fev. 2018,9
mar. 2018,9
abr. 2018,12
mai. 2018,8
jun. 2018,5
jul. 2018,3
ago. 2018,2
set. 2018,2
out. 2018,3
nov. 2018,5
dez. 2018,6
jan. 2019,9
fev. 2019,12
mar. 2019,20
abr. 2019,35
mai. 2019,37
jun. 2019,28
jul. 2019,13
ago. 2019,8
set. 2019,6
out. 2019,6
nov. 2019,8
dez. 2019,9
