Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,21
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,25
abr. 2008,78
mai. 2008,27
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,16
abr. 2009,16
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,13
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,17
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,4
fev. 2011,6
mar. 2011,15
abr. 2011,10
mai. 2011,7
jun. 2011,4
jul. 2011,0
ago. 2011,0
set. 2011,0
out. 2011,0
nov. 2011,7
dez. 2011,0
jan. 2012,5
fev. 2012,5
mar. 2012,8
abr. 2012,4
mai. 2012,6
jun. 2012,3
jul. 2012,3
ago. 2012,0
set. 2012,4
out. 2012,5
nov. 2012,3
dez. 2012,0
jan. 2013,7
fev. 2013,10
mar. 2013,8
abr. 2013,17
mai. 2013,7
jun. 2013,5
jul. 2013,2
ago. 2013,2
set. 2013,3
out. 2013,3
nov. 2013,3
dez. 2013,3
jan. 2014,8
fev. 2014,5
mar. 2014,9
abr. 2014,10
mai. 2014,9
jun. 2014,5
jul. 2014,3
ago. 2014,5
set. 2014,3
out. 2014,3
nov. 2014,6
dez. 2014,4
jan. 2015,9
fev. 2015,35
mar. 2015,37
abr. 2015,28
mai. 2015,22
jun. 2015,10
jul. 2015,6
ago. 2015,6
set. 2015,5
out. 2015,6
nov. 2015,13
dez. 2015,38
jan. 2016,36
fev. 2016,91
mar. 2016,100
abr. 2016,50
mai. 2016,13
jun. 2016,6
jul. 2016,4
ago. 2016,5
set. 2016,3
out. 2016,5
nov. 2016,5
dez. 2016,9
jan. 2017,12
fev. 2017,10
mar. 2017,11
abr. 2017,14
mai. 2017,7
jun. 2017,5
jul. 2017,2
ago. 2017,4
set. 2017,6
out. 2017,7
nov. 2017,7
dez. 2017,6
jan. 2018,12
fev. 2018,10
mar. 2018,9
abr. 2018,9
mai. 2018,5
jun. 2018,4
jul. 2018,3
ago. 2018,4
set. 2018,3
out. 2018,4
nov. 2018,5
dez. 2018,5
jan. 2019,11
fev. 2019,15
mar. 2019,18
abr. 2019,20
mai. 2019,17
jun. 2019,14
jul. 2019,4
ago. 2019,5
set. 2019,8
out. 2019,5
nov. 2019,6
dez. 2019,6
