Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,56
abr. 2008,100
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,17
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,9
fev. 2011,15
mar. 2011,19
abr. 2011,14
mai. 2011,9
jun. 2011,10
jul. 2011,14
ago. 2011,10
set. 2011,4
out. 2011,11
nov. 2011,12
dez. 2011,11
jan. 2012,12
fev. 2012,9
mar. 2012,12
abr. 2012,11
mai. 2012,14
jun. 2012,13
jul. 2012,6
ago. 2012,3
set. 2012,0
out. 2012,3
nov. 2012,3
dez. 2012,0
jan. 2013,11
fev. 2013,10
mar. 2013,17
abr. 2013,40
mai. 2013,22
jun. 2013,17
jul. 2013,9
ago. 2013,8
set. 2013,3
out. 2013,4
nov. 2013,3
dez. 2013,3
jan. 2014,8
fev. 2014,6
mar. 2014,9
abr. 2014,14
mai. 2014,14
jun. 2014,6
jul. 2014,7
ago. 2014,6
set. 2014,3
out. 2014,5
nov. 2014,5
dez. 2014,4
jan. 2015,18
fev. 2015,56
mar. 2015,65
abr. 2015,65
mai. 2015,47
jun. 2015,26
jul. 2015,13
ago. 2015,9
set. 2015,10
out. 2015,9
nov. 2015,14
dez. 2015,34
jan. 2016,55
fev. 2016,86
mar. 2016,94
abr. 2016,62
mai. 2016,20
jun. 2016,10
jul. 2016,6
ago. 2016,5
set. 2016,5
out. 2016,5
nov. 2016,10
dez. 2016,12
jan. 2017,19
fev. 2017,15
mar. 2017,16
abr. 2017,13
mai. 2017,8
jun. 2017,7
jul. 2017,5
ago. 2017,5
set. 2017,4
out. 2017,7
nov. 2017,7
dez. 2017,8
jan. 2018,15
fev. 2018,10
mar. 2018,11
abr. 2018,14
mai. 2018,9
jun. 2018,4
jul. 2018,3
ago. 2018,4
set. 2018,3
out. 2018,5
nov. 2018,5
dez. 2018,7
jan. 2019,14
fev. 2019,19
mar. 2019,30
abr. 2019,39
mai. 2019,36
jun. 2019,27
jul. 2019,11
ago. 2019,10
set. 2019,9
out. 2019,9
nov. 2019,11
dez. 2019,10
