Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,0
fev. 2011,0
mar. 2011,0
abr. 2011,0
mai. 2011,0
jun. 2011,0
jul. 2011,0
ago. 2011,0
set. 2011,0
out. 2011,0
nov. 2011,0
dez. 2011,0
jan. 2012,0
fev. 2012,0
mar. 2012,0
abr. 2012,0
mai. 2012,0
jun. 2012,0
jul. 2012,0
ago. 2012,0
set. 2012,0
out. 2012,0
nov. 2012,0
dez. 2012,0
jan. 2013,0
fev. 2013,0
mar. 2013,0
abr. 2013,42
mai. 2013,0
jun. 2013,41
jul. 2013,0
ago. 2013,0
set. 2013,0
out. 2013,0
nov. 2013,0
dez. 2013,0
jan. 2014,0
fev. 2014,0
mar. 2014,0
abr. 2014,0
mai. 2014,0
jun. 2014,0
jul. 2014,51
ago. 2014,0
set. 2014,0
out. 2014,0
nov. 2014,0
dez. 2014,0
jan. 2015,36
fev. 2015,0
mar. 2015,41
abr. 2015,0
mai. 2015,37
jun. 2015,0
jul. 2015,0
ago. 2015,0
set. 2015,0
out. 2015,0
nov. 2015,0
dez. 2015,0
jan. 2016,0
fev. 2016,39
mar. 2016,28
abr. 2016,0
mai. 2016,0
jun. 2016,0
jul. 2016,0
ago. 2016,0
set. 2016,0
out. 2016,0
nov. 2016,0
dez. 2016,0
jan. 2017,0
fev. 2017,0
mar. 2017,0
abr. 2017,0
mai. 2017,0
jun. 2017,0
jul. 2017,0
ago. 2017,0
set. 2017,0
out. 2017,0
nov. 2017,0
dez. 2017,0
jan. 2018,0
fev. 2018,0
mar. 2018,0
abr. 2018,0
mai. 2018,0
jun. 2018,0
jul. 2018,0
ago. 2018,0
set. 2018,0
out. 2018,0
nov. 2018,0
dez. 2018,0
jan. 2019,0
fev. 2019,0
mar. 2019,0
abr. 2019,25
mai. 2019,51
jun. 2019,72
jul. 2019,100
ago. 2019,60
set. 2019,42
out. 2019,27
nov. 2019,24
dez. 2019,0
