Date,Interest
jan. 2004,5
fev. 2004,9
mar. 2004,15
abr. 2004,12
mai. 2004,9
jun. 2004,7
jul. 2004,2
ago. 2004,6
set. 2004,6
out. 2004,6
nov. 2004,11
dez. 2004,4
jan. 2005,6
fev. 2005,6
mar. 2005,8
abr. 2005,7
mai. 2005,8
jun. 2005,7
jul. 2005,3
ago. 2005,7
set. 2005,6
out. 2005,6
nov. 2005,11
dez. 2005,4
jan. 2006,6
fev. 2006,11
mar. 2006,17
abr. 2006,21
mai. 2006,15
jun. 2006,8
jul. 2006,4
ago. 2006,6
set. 2006,5
out. 2006,5
nov. 2006,9
dez. 2006,5
jan. 2007,6
fev. 2007,11
mar. 2007,30
abr. 2007,42
mai. 2007,23
jun. 2007,12
jul. 2007,6
ago. 2007,6
set. 2007,7
out. 2007,11
nov. 2007,16
dez. 2007,7
jan. 2008,10
fev. 2008,10
mar. 2008,43
abr. 2008,82
mai. 2008,26
jun. 2008,13
jul. 2008,4
ago. 2008,5
set. 2008,6
out. 2008,7
nov. 2008,10
dez. 2008,4
jan. 2009,6
fev. 2009,10
mar. 2009,14
abr. 2009,11
mai. 2009,8
jun. 2009,5
jul. 2009,2
ago. 2009,3
set. 2009,4
out. 2009,4
nov. 2009,7
dez. 2009,4
jan. 2010,7
fev. 2010,16
mar. 2010,23
abr. 2010,21
mai. 2010,15
jun. 2010,7
jul. 2010,3
ago. 2010,4
set. 2010,5
out. 2010,4
nov. 2010,7
dez. 2010,5
jan. 2011,6
fev. 2011,10
mar. 2011,18
abr. 2011,19
mai. 2011,11
jun. 2011,7
jul. 2011,4
ago. 2011,4
set. 2011,5
out. 2011,5
nov. 2011,6
dez. 2011,4
jan. 2012,6
fev. 2012,6
mar. 2012,8
abr. 2012,7
mai. 2012,7
jun. 2012,5
jul. 2012,3
ago. 2012,4
set. 2012,4
out. 2012,4
nov. 2012,4
dez. 2012,3
jan. 2013,6
fev. 2013,12
mar. 2013,20
abr. 2013,29
mai. 2013,14
jun. 2013,7
jul. 2013,3
ago. 2013,4
set. 2013,3
out. 2013,4
nov. 2013,5
dez. 2013,3
jan. 2014,5
fev. 2014,6
mar. 2014,14
abr. 2014,40
mai. 2014,34
jun. 2014,12
jul. 2014,5
ago. 2014,5
set. 2014,5
out. 2014,5
nov. 2014,6
dez. 2014,5
jan. 2015,11
fev. 2015,39
mar. 2015,100
abr. 2015,94
mai. 2015,52
jun. 2015,17
jul. 2015,6
ago. 2015,6
set. 2015,6
out. 2015,6
nov. 2015,10
dez. 2015,22
jan. 2016,24
fev. 2016,56
mar. 2016,53
abr. 2016,35
mai. 2016,13
jun. 2016,6
jul. 2016,4
ago. 2016,4
set. 2016,4
out. 2016,5
nov. 2016,6
dez. 2016,6
jan. 2017,8
fev. 2017,10
mar. 2017,9
abr. 2017,5
mai. 2017,5
jun. 2017,4
jul. 2017,2
ago. 2017,3
set. 2017,4
out. 2017,5
nov. 2017,5
dez. 2017,4
jan. 2018,7
fev. 2018,6
mar. 2018,5
abr. 2018,5
mai. 2018,4
jun. 2018,3
jul. 2018,2
ago. 2018,2
set. 2018,3
out. 2018,4
nov. 2018,5
dez. 2018,5
jan. 2019,8
fev. 2019,20
mar. 2019,26
abr. 2019,34
mai. 2019,38
jun. 2019,19
jul. 2019,7
ago. 2019,5
set. 2019,5
out. 2019,5
nov. 2019,5
dez. 2019,5
