Date,Interest
jan. 2004,0
fev. 2004,14
mar. 2004,0
abr. 2004,16
mai. 2004,13
jun. 2004,10
jul. 2004,0
ago. 2004,11
set. 2004,13
out. 2004,0
nov. 2004,19
dez. 2004,13
jan. 2005,24
fev. 2005,13
mar. 2005,15
abr. 2005,14
mai. 2005,10
jun. 2005,15
jul. 2005,9
ago. 2005,11
set. 2005,12
out. 2005,14
nov. 2005,11
dez. 2005,12
jan. 2006,13
fev. 2006,14
mar. 2006,16
abr. 2006,17
mai. 2006,12
jun. 2006,18
jul. 2006,5
ago. 2006,9
set. 2006,13
out. 2006,10
nov. 2006,13
dez. 2006,11
jan. 2007,12
fev. 2007,11
mar. 2007,19
abr. 2007,27
mai. 2007,17
jun. 2007,14
jul. 2007,10
ago. 2007,9
set. 2007,10
out. 2007,13
nov. 2007,16
dez. 2007,12
jan. 2008,21
fev. 2008,14
mar. 2008,32
abr. 2008,65
mai. 2008,21
jun. 2008,13
jul. 2008,11
ago. 2008,9
set. 2008,10
out. 2008,11
nov. 2008,13
dez. 2008,10
jan. 2009,11
fev. 2009,15
mar. 2009,19
abr. 2009,15
mai. 2009,10
jun. 2009,8
jul. 2009,7
ago. 2009,7
set. 2009,10
out. 2009,9
nov. 2009,15
dez. 2009,10
jan. 2010,13
fev. 2010,21
mar. 2010,20
abr. 2010,19
mai. 2010,14
jun. 2010,9
jul. 2010,15
ago. 2010,9
set. 2010,8
out. 2010,9
nov. 2010,13
dez. 2010,11
jan. 2011,14
fev. 2011,14
mar. 2011,21
abr. 2011,19
mai. 2011,12
jun. 2011,8
jul. 2011,6
ago. 2011,7
set. 2011,8
out. 2011,9
nov. 2011,10
dez. 2011,11
jan. 2012,10
fev. 2012,12
mar. 2012,13
abr. 2012,11
mai. 2012,10
jun. 2012,8
jul. 2012,6
ago. 2012,7
set. 2012,9
out. 2012,9
nov. 2012,10
dez. 2012,9
jan. 2013,14
fev. 2013,17
mar. 2013,19
abr. 2013,25
mai. 2013,12
jun. 2013,9
jul. 2013,6
ago. 2013,7
set. 2013,8
out. 2013,9
nov. 2013,11
dez. 2013,10
jan. 2014,13
fev. 2014,13
mar. 2014,19
abr. 2014,32
mai. 2014,29
jun. 2014,13
jul. 2014,9
ago. 2014,10
set. 2014,10
out. 2014,14
nov. 2014,16
dez. 2014,15
jan. 2015,22
fev. 2015,43
mar. 2015,97
abr. 2015,71
mai. 2015,36
jun. 2015,19
jul. 2015,11
ago. 2015,12
set. 2015,14
out. 2015,15
nov. 2015,26
dez. 2015,58
jan. 2016,41
fev. 2016,100
mar. 2016,77
abr. 2016,43
mai. 2016,18
jun. 2016,12
jul. 2016,9
ago. 2016,9
set. 2016,13
out. 2016,14
nov. 2016,17
dez. 2016,19
jan. 2017,27
fev. 2017,26
mar. 2017,21
abr. 2017,15
mai. 2017,12
jun. 2017,11
jul. 2017,9
ago. 2017,11
set. 2017,16
out. 2017,19
nov. 2017,19
dez. 2017,20
jan. 2018,62
fev. 2018,32
mar. 2018,23
abr. 2018,18
mai. 2018,13
jun. 2018,11
jul. 2018,11
ago. 2018,11
set. 2018,14
out. 2018,16
nov. 2018,21
dez. 2018,21
jan. 2019,24
fev. 2019,25
mar. 2019,29
abr. 2019,24
mai. 2019,24
jun. 2019,17
jul. 2019,11
ago. 2019,12
set. 2019,15
out. 2019,17
nov. 2019,19
dez. 2019,20
