Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,10
abr. 2007,19
mai. 2007,12
jun. 2007,11
jul. 2007,7
ago. 2007,0
set. 2007,0
out. 2007,6
nov. 2007,6
dez. 2007,0
jan. 2008,9
fev. 2008,6
mar. 2008,19
abr. 2008,35
mai. 2008,7
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,6
nov. 2008,5
dez. 2008,0
jan. 2009,0
fev. 2009,10
mar. 2009,9
abr. 2009,8
mai. 2009,0
jun. 2009,4
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,6
fev. 2010,11
mar. 2010,19
abr. 2010,20
mai. 2010,14
jun. 2010,5
jul. 2010,4
ago. 2010,5
set. 2010,5
out. 2010,5
nov. 2010,6
dez. 2010,5
jan. 2011,9
fev. 2011,11
mar. 2011,19
abr. 2011,21
mai. 2011,15
jun. 2011,10
jul. 2011,14
ago. 2011,7
set. 2011,6
out. 2011,8
nov. 2011,8
dez. 2011,9
jan. 2012,12
fev. 2012,12
mar. 2012,12
abr. 2012,9
mai. 2012,9
jun. 2012,7
jul. 2012,5
ago. 2012,6
set. 2012,5
out. 2012,5
nov. 2012,5
dez. 2012,5
jan. 2013,10
fev. 2013,20
mar. 2013,24
abr. 2013,42
mai. 2013,24
jun. 2013,17
jul. 2013,8
ago. 2013,6
set. 2013,5
out. 2013,4
nov. 2013,6
dez. 2013,5
jan. 2014,8
fev. 2014,11
mar. 2014,18
abr. 2014,54
mai. 2014,46
jun. 2014,18
jul. 2014,10
ago. 2014,8
set. 2014,7
out. 2014,8
nov. 2014,7
dez. 2014,7
jan. 2015,13
fev. 2015,44
mar. 2015,97
abr. 2015,100
mai. 2015,52
jun. 2015,20
jul. 2015,9
ago. 2015,8
set. 2015,6
out. 2015,7
nov. 2015,10
dez. 2015,19
jan. 2016,22
fev. 2016,39
mar. 2016,42
abr. 2016,29
mai. 2016,11
jun. 2016,6
jul. 2016,4
ago. 2016,4
set. 2016,4
out. 2016,5
nov. 2016,6
dez. 2016,6
jan. 2017,9
fev. 2017,11
mar. 2017,9
abr. 2017,5
mai. 2017,5
jun. 2017,4
jul. 2017,3
ago. 2017,4
set. 2017,6
out. 2017,6
nov. 2017,7
dez. 2017,6
jan. 2018,9
fev. 2018,7
mar. 2018,7
abr. 2018,6
mai. 2018,5
jun. 2018,4
jul. 2018,3
ago. 2018,4
set. 2018,4
out. 2018,4
nov. 2018,6
dez. 2018,8
jan. 2019,11
fev. 2019,20
mar. 2019,31
abr. 2019,40
mai. 2019,44
jun. 2019,26
jul. 2019,11
ago. 2019,7
set. 2019,7
out. 2019,7
nov. 2019,8
dez. 2019,10
