Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,100.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,66.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,48.0
2006-03,45.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,28.0
2006-11,39.0
2006-12,0.0
2007-01,24.0
2007-02,52.0
2007-03,57.0
2007-04,44.0
2007-05,22.0
2007-06,23.0
2007-07,25.0
2007-08,0.0
2007-09,15.0
2007-10,16.0
2007-11,40.0
2007-12,31.0
2008-01,16.0
2008-02,23.0
2008-03,54.0
2008-04,80.0
2008-05,37.0
2008-06,24.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,29.0
2008-12,0.0
2009-01,17.0
2009-02,28.0
2009-03,54.0
2009-04,92.0
2009-05,76.0
2009-06,38.0
2009-07,18.0
2009-08,16.0
2009-09,20.0
2009-10,17.0
2009-11,66.0
2009-12,95.0
2010-01,70.0
2010-02,72.0
2010-03,54.0
2010-04,44.0
2010-05,21.0
2010-06,15.0
2010-07,0.0
2010-08,13.0
2010-09,23.0
2010-10,16.0
2010-11,37.0
2010-12,26.0
2011-01,24.0
2011-02,23.0
2011-03,34.0
2011-04,31.0
2011-05,19.0
2011-06,13.0
2011-07,12.0
2011-08,9.0
2011-09,12.0
2011-10,19.0
2011-11,26.0
2011-12,18.0
2012-01,18.0
2012-02,35.0
2012-03,55.0
2012-04,50.0
2012-05,36.0
2012-06,27.0
2012-07,17.0
2012-08,13.0
2012-09,13.0
2012-10,15.0
2012-11,19.0
2012-12,15.0
2013-01,32.0
2013-02,39.0
2013-03,34.0
2013-04,32.0
2013-05,22.0
2013-06,19.0
2013-07,12.0
2013-08,7.0
2013-09,7.0
2013-10,12.0
2013-11,15.0
2013-12,13.0
2014-01,11.0
2014-02,12.0
2014-03,16.0
2014-04,16.0
2014-05,14.0
2014-06,12.0
2014-07,9.0
2014-08,8.0
2014-09,11.0
2014-10,11.0
2014-11,15.0
2014-12,9.0
2015-01,9.0
2015-02,18.0
2015-03,30.0
2015-04,38.0
2015-05,39.0
2015-06,31.0
2015-07,15.0
2015-08,15.0
2015-09,13.0
2015-10,13.0
2015-11,22.0
2015-12,49.0
2016-01,52.0
2016-02,87.0
2016-03,58.0
2016-04,38.0
2016-05,21.0
2016-06,14.0
2016-07,8.0
2016-08,10.0
2016-09,9.0
2016-10,12.0
2016-11,17.0
2016-12,12.0
2017-01,17.0
2017-02,19.0
2017-03,20.0
2017-04,15.0
2017-05,12.0
2017-06,9.0
2017-07,6.0
2017-08,7.0
2017-09,8.0
2017-10,10.0
2017-11,12.0
2017-12,11.0
2018-01,13.0
2018-02,19.0
2018-03,21.0
2018-04,18.0
2018-05,15.0
2018-06,10.0
2018-07,7.0
2018-08,6.0
2018-09,7.0
2018-10,10.0
2018-11,13.0
2018-12,12.0
2019-01,10.0
2019-02,14.0
2019-03,21.0
2019-04,27.0
2019-05,31.0
2019-06,24.0
2019-07,12.0
2019-08,10.0
2019-09,9.0
2019-10,12.0
2019-11,15.0
2019-12,20.0
