Date,Interest
2004-01,0.0
2004-02,14.0
2004-03,0.0
2004-04,16.0
2004-05,13.0
2004-06,10.0
2004-07,0.0
2004-08,11.0
2004-09,13.0
2004-10,0.0
2004-11,19.0
2004-12,13.0
2005-01,24.0
2005-02,13.0
2005-03,15.0
2005-04,14.0
2005-05,10.0
2005-06,15.0
2005-07,9.0
2005-08,11.0
2005-09,12.0
2005-10,14.0
2005-11,11.0
2005-12,12.0
2006-01,13.0
2006-02,14.0
2006-03,16.0
2006-04,17.0
2006-05,12.0
2006-06,18.0
2006-07,5.0
2006-08,9.0
2006-09,13.0
2006-10,10.0
2006-11,13.0
2006-12,11.0
2007-01,12.0
2007-02,11.0
2007-03,19.0
2007-04,27.0
2007-05,17.0
2007-06,14.0
2007-07,10.0
2007-08,9.0
2007-09,10.0
2007-10,13.0
2007-11,16.0
2007-12,12.0
2008-01,21.0
2008-02,14.0
2008-03,32.0
2008-04,65.0
2008-05,21.0
2008-06,13.0
2008-07,11.0
2008-08,9.0
2008-09,10.0
2008-10,11.0
2008-11,13.0
2008-12,10.0
2009-01,11.0
2009-02,15.0
2009-03,19.0
2009-04,15.0
2009-05,10.0
2009-06,8.0
2009-07,7.0
2009-08,7.0
2009-09,10.0
2009-10,9.0
2009-11,15.0
2009-12,10.0
2010-01,13.0
2010-02,21.0
2010-03,20.0
2010-04,19.0
2010-05,14.0
2010-06,9.0
2010-07,15.0
2010-08,9.0
2010-09,8.0
2010-10,9.0
2010-11,13.0
2010-12,11.0
2011-01,14.0
2011-02,14.0
2011-03,21.0
2011-04,19.0
2011-05,12.0
2011-06,8.0
2011-07,6.0
2011-08,7.0
2011-09,8.0
2011-10,9.0
2011-11,10.0
2011-12,11.0
2012-01,10.0
2012-02,12.0
2012-03,13.0
2012-04,11.0
2012-05,10.0
2012-06,8.0
2012-07,6.0
2012-08,7.0
2012-09,9.0
2012-10,9.0
2012-11,10.0
2012-12,9.0
2013-01,14.0
2013-02,17.0
2013-03,19.0
2013-04,25.0
2013-05,12.0
2013-06,9.0
2013-07,6.0
2013-08,7.0
2013-09,8.0
2013-10,9.0
2013-11,11.0
2013-12,10.0
2014-01,13.0
2014-02,13.0
2014-03,19.0
2014-04,32.0
2014-05,29.0
2014-06,13.0
2014-07,9.0
2014-08,10.0
2014-09,10.0
2014-10,14.0
2014-11,16.0
2014-12,15.0
2015-01,22.0
2015-02,43.0
2015-03,97.0
2015-04,71.0
2015-05,36.0
2015-06,19.0
2015-07,11.0
2015-08,12.0
2015-09,14.0
2015-10,15.0
2015-11,26.0
2015-12,58.0
2016-01,41.0
2016-02,100.0
2016-03,77.0
2016-04,43.0
2016-05,18.0
2016-06,12.0
2016-07,9.0
2016-08,9.0
2016-09,13.0
2016-10,14.0
2016-11,17.0
2016-12,19.0
2017-01,27.0
2017-02,26.0
2017-03,21.0
2017-04,15.0
2017-05,12.0
2017-06,11.0
2017-07,9.0
2017-08,11.0
2017-09,16.0
2017-10,19.0
2017-11,19.0
2017-12,20.0
2018-01,62.0
2018-02,32.0
2018-03,23.0
2018-04,18.0
2018-05,13.0
2018-06,11.0
2018-07,11.0
2018-08,11.0
2018-09,14.0
2018-10,16.0
2018-11,21.0
2018-12,21.0
2019-01,24.0
2019-02,25.0
2019-03,29.0
2019-04,24.0
2019-05,24.0
2019-06,17.0
2019-07,11.0
2019-08,12.0
2019-09,15.0
2019-10,17.0
2019-11,19.0
2019-12,20.0
