Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,13
2004-12,0
2005-01,0
2005-02,7
2005-03,8
2005-04,6
2005-05,11
2005-06,9
2005-07,5
2005-08,0
2005-09,0
2005-10,4
2005-11,8
2005-12,0
2006-01,5
2006-02,7
2006-03,8
2006-04,10
2006-05,8
2006-06,5
2006-07,3
2006-08,4
2006-09,3
2006-10,2
2006-11,5
2006-12,2
2007-01,2
2007-02,3
2007-03,6
2007-04,8
2007-05,7
2007-06,5
2007-07,5
2007-08,5
2007-09,5
2007-10,8
2007-11,9
2007-12,5
2008-01,7
2008-02,14
2008-03,37
2008-04,100
2008-05,44
2008-06,17
2008-07,7
2008-08,4
2008-09,4
2008-10,6
2008-11,8
2008-12,6
2009-01,7
2009-02,15
2009-03,40
2009-04,27
2009-05,15
2009-06,7
2009-07,5
2009-08,5
2009-09,5
2009-10,5
2009-11,6
2009-12,3
2010-01,5
2010-02,6
2010-03,14
2010-04,12
2010-05,12
2010-06,8
2010-07,3
2010-08,5
2010-09,4
2010-10,3
2010-11,5
2010-12,4
2011-01,3
2011-02,5
2011-03,10
2011-04,13
2011-05,10
2011-06,8
2011-07,7
2011-08,5
2011-09,4
2011-10,5
2011-11,6
2011-12,4
2012-01,4
2012-02,6
2012-03,9
2012-04,10
2012-05,10
2012-06,6
2012-07,6
2012-08,5
2012-09,4
2012-10,4
2012-11,4
2012-12,3
2013-01,4
2013-02,5
2013-03,9
2013-04,13
2013-05,10
2013-06,6
2013-07,5
2013-08,4
2013-09,3
2013-10,3
2013-11,3
2013-12,2
2014-01,2
2014-02,3
2014-03,4
2014-04,7
2014-05,7
2014-06,5
2014-07,4
2014-08,4
2014-09,4
2014-10,5
2014-11,4
2014-12,3
2015-01,3
2015-02,4
2015-03,10
2015-04,14
2015-05,19
2015-06,11
2015-07,13
2015-08,8
2015-09,6
2015-10,4
2015-11,4
2015-12,7
2016-01,7
2016-02,33
2016-03,44
2016-04,30
2016-05,15
2016-06,8
2016-07,6
2016-08,4
2016-09,4
2016-10,3
2016-11,4
2016-12,3
2017-01,3
2017-02,3
2017-03,4
2017-04,6
2017-05,5
2017-06,3
2017-07,3
2017-08,3
2017-09,3
2017-10,3
2017-11,3
2017-12,2
2018-01,2
2018-02,3
2018-03,4
2018-04,5
2018-05,4
2018-06,3
2018-07,3
2018-08,3
2018-09,2
2018-10,2
2018-11,3
2018-12,2
2019-01,3
2019-02,6
2019-03,8
2019-04,11
2019-05,15
2019-06,13
2019-07,11
2019-08,7
2019-09,6
2019-10,5
2019-11,4
2019-12,3
