Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,57
2008-04,100
2008-05,49
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,73
2009-04,0
2009-05,46
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,19
2011-03,29
2011-04,43
2011-05,31
2011-06,43
2011-07,48
2011-08,37
2011-09,18
2011-10,25
2011-11,17
2011-12,24
2012-01,32
2012-02,39
2012-03,42
2012-04,48
2012-05,35
2012-06,33
2012-07,28
2012-08,28
2012-09,30
2012-10,17
2012-11,13
2012-12,10
2013-01,14
2013-02,20
2013-03,32
2013-04,55
2013-05,39
2013-06,24
2013-07,27
2013-08,17
2013-09,11
2013-10,11
2013-11,11
2013-12,16
2014-01,10
2014-02,15
2014-03,23
2014-04,28
2014-05,32
2014-06,26
2014-07,26
2014-08,15
2014-09,14
2014-10,14
2014-11,18
2014-12,10
2015-01,8
2015-02,15
2015-03,39
2015-04,61
2015-05,66
2015-06,48
2015-07,33
2015-08,21
2015-09,17
2015-10,8
2015-11,12
2015-12,15
2016-01,19
2016-02,77
2016-03,71
2016-04,47
2016-05,24
2016-06,19
2016-07,15
2016-08,12
2016-09,0
2016-10,12
2016-11,13
2016-12,11
2017-01,14
2017-02,15
2017-03,14
2017-04,15
2017-05,12
2017-06,12
2017-07,9
2017-08,12
2017-09,7
2017-10,9
2017-11,10
2017-12,12
2018-01,9
2018-02,14
2018-03,15
2018-04,18
2018-05,12
2018-06,13
2018-07,12
2018-08,6
2018-09,8
2018-10,8
2018-11,11
2018-12,11
2019-01,15
2019-02,22
2019-03,29
2019-04,44
2019-05,70
2019-06,54
2019-07,45
2019-08,33
2019-09,26
2019-10,17
2019-11,17
2019-12,20
