Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,29
2007-12,0
2008-01,0
2008-02,0
2008-03,67
2008-04,100
2008-05,48
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,42
2009-03,32
2009-04,27
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,29
2010-02,0
2010-03,30
2010-04,44
2010-05,0
2010-06,0
2010-07,29
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,21
2011-02,46
2011-03,62
2011-04,62
2011-05,32
2011-06,19
2011-07,23
2011-08,20
2011-09,10
2011-10,10
2011-11,12
2011-12,13
2012-01,15
2012-02,21
2012-03,28
2012-04,59
2012-05,95
2012-06,29
2012-07,16
2012-08,9
2012-09,9
2012-10,9
2012-11,9
2012-12,6
2013-01,8
2013-02,16
2013-03,19
2013-04,36
2013-05,32
2013-06,27
2013-07,24
2013-08,19
2013-09,11
2013-10,10
2013-11,8
2013-12,4
2014-01,8
2014-02,16
2014-03,20
2014-04,22
2014-05,26
2014-06,23
2014-07,17
2014-08,12
2014-09,11
2014-10,9
2014-11,3
2014-12,6
2015-01,12
2015-02,21
2015-03,54
2015-04,86
2015-05,80
2015-06,41
2015-07,24
2015-08,17
2015-09,10
2015-10,8
2015-11,8
2015-12,19
2016-01,23
2016-02,68
2016-03,54
2016-04,48
2016-05,36
2016-06,28
2016-07,17
2016-08,10
2016-09,9
2016-10,6
2016-11,6
2016-12,6
2017-01,13
2017-02,21
2017-03,37
2017-04,49
2017-05,31
2017-06,18
2017-07,11
2017-08,9
2017-09,6
2017-10,6
2017-11,5
2017-12,4
2018-01,8
2018-02,14
2018-03,16
2018-04,16
2018-05,7
2018-06,7
2018-07,3
2018-08,5
2018-09,6
2018-10,4
2018-11,3
2018-12,5
2019-01,6
2019-02,14
2019-03,21
2019-04,31
2019-05,32
2019-06,19
2019-07,14
2019-08,13
2019-09,7
2019-10,6
2019-11,6
2019-12,6
