Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,81
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,4
2011-02,13
2011-03,23
2011-04,19
2011-05,15
2011-06,11
2011-07,8
2011-08,9
2011-09,10
2011-10,10
2011-11,12
2011-12,12
2012-01,8
2012-02,7
2012-03,9
2012-04,11
2012-05,11
2012-06,9
2012-07,8
2012-08,6
2012-09,8
2012-10,8
2012-11,6
2012-12,9
2013-01,13
2013-02,12
2013-03,17
2013-04,21
2013-05,11
2013-06,8
2013-07,9
2013-08,8
2013-09,7
2013-10,9
2013-11,10
2013-12,13
2014-01,11
2014-02,8
2014-03,10
2014-04,13
2014-05,10
2014-06,11
2014-07,10
2014-08,8
2014-09,9
2014-10,11
2014-11,12
2014-12,11
2015-01,8
2015-02,12
2015-03,17
2015-04,19
2015-05,19
2015-06,21
2015-07,15
2015-08,13
2015-09,12
2015-10,10
2015-11,18
2015-12,61
2016-01,29
2016-02,100
2016-03,65
2016-04,44
2016-05,25
2016-06,18
2016-07,16
2016-08,17
2016-09,14
2016-10,12
2016-11,20
2016-12,22
2017-01,26
2017-02,24
2017-03,29
2017-04,20
2017-05,17
2017-06,21
2017-07,12
2017-08,12
2017-09,11
2017-10,14
2017-11,15
2017-12,19
2018-01,16
2018-02,18
2018-03,18
2018-04,18
2018-05,18
2018-06,14
2018-07,14
2018-08,18
2018-09,14
2018-10,14
2018-11,18
2018-12,18
2019-01,15
2019-02,19
2019-03,24
2019-04,28
2019-05,30
2019-06,32
2019-07,21
2019-08,15
2019-09,16
2019-10,15
2019-11,17
2019-12,24
