Date,Interest
2004-01,0
2004-02,44
2004-03,18
2004-04,20
2004-05,14
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,10
2004-11,18
2004-12,0
2005-01,10
2005-02,21
2005-03,25
2005-04,23
2005-05,16
2005-06,18
2005-07,6
2005-08,10
2005-09,8
2005-10,13
2005-11,18
2005-12,6
2006-01,15
2006-02,34
2006-03,39
2006-04,25
2006-05,16
2006-06,8
2006-07,5
2006-08,8
2006-09,7
2006-10,10
2006-11,19
2006-12,11
2007-01,12
2007-02,23
2007-03,25
2007-04,22
2007-05,14
2007-06,11
2007-07,9
2007-08,8
2007-09,10
2007-10,16
2007-11,20
2007-12,10
2008-01,14
2008-02,21
2008-03,42
2008-04,98
2008-05,47
2008-06,23
2008-07,5
2008-08,6
2008-09,8
2008-10,10
2008-11,18
2008-12,11
2009-01,12
2009-02,20
2009-03,24
2009-04,19
2009-05,12
2009-06,9
2009-07,4
2009-08,8
2009-09,7
2009-10,8
2009-11,14
2009-12,13
2010-01,22
2010-02,41
2010-03,58
2010-04,34
2010-05,29
2010-06,14
2010-07,6
2010-08,8
2010-09,9
2010-10,9
2010-11,15
2010-12,9
2011-01,12
2011-02,19
2011-03,24
2011-04,23
2011-05,15
2011-06,10
2011-07,7
2011-08,8
2011-09,10
2011-10,11
2011-11,16
2011-12,11
2012-01,10
2012-02,13
2012-03,14
2012-04,13
2012-05,12
2012-06,9
2012-07,5
2012-08,6
2012-09,7
2012-10,7
2012-11,9
2012-12,8
2013-01,19
2013-02,32
2013-03,32
2013-04,39
2013-05,26
2013-06,15
2013-07,7
2013-08,8
2013-09,7
2013-10,9
2013-11,11
2013-12,11
2014-01,13
2014-02,21
2014-03,24
2014-04,29
2014-05,28
2014-06,16
2014-07,9
2014-08,9
2014-09,9
2014-10,9
2014-11,13
2014-12,12
2015-01,15
2015-02,33
2015-03,54
2015-04,69
2015-05,87
2015-06,33
2015-07,12
2015-08,11
2015-09,9
2015-10,9
2015-11,17
2015-12,36
2016-01,48
2016-02,100
2016-03,98
2016-04,58
2016-05,37
2016-06,22
2016-07,8
2016-08,9
2016-09,9
2016-10,11
2016-11,13
2016-12,12
2017-01,15
2017-02,22
2017-03,26
2017-04,23
2017-05,23
2017-06,16
2017-07,6
2017-08,8
2017-09,9
2017-10,13
2017-11,13
2017-12,13
2018-01,18
2018-02,29
2018-03,39
2018-04,48
2018-05,35
2018-06,18
2018-07,9
2018-08,9
2018-09,9
2018-10,10
2018-11,18
2018-12,18
2019-01,22
2019-02,38
2019-03,54
2019-04,65
2019-05,72
2019-06,43
2019-07,17
2019-08,12
2019-09,12
2019-10,11
2019-11,12
2019-12,16
