Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,12
2007-07,0
2007-08,0
2007-09,0
2007-10,14
2007-11,10
2007-12,0
2008-01,0
2008-02,16
2008-03,16
2008-04,58
2008-05,23
2008-06,13
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,16
2008-12,0
2009-01,8
2009-02,13
2009-03,16
2009-04,11
2009-05,8
2009-06,0
2009-07,0
2009-08,0
2009-09,6
2009-10,0
2009-11,11
2009-12,9
2010-01,14
2010-02,25
2010-03,32
2010-04,22
2010-05,14
2010-06,0
2010-07,0
2010-08,6
2010-09,0
2010-10,0
2010-11,12
2010-12,6
2011-01,7
2011-02,13
2011-03,17
2011-04,13
2011-05,7
2011-06,6
2011-07,3
2011-08,5
2011-09,4
2011-10,6
2011-11,10
2011-12,7
2012-01,7
2012-02,8
2012-03,9
2012-04,7
2012-05,6
2012-06,6
2012-07,3
2012-08,5
2012-09,5
2012-10,6
2012-11,7
2012-12,6
2013-01,12
2013-02,20
2013-03,20
2013-04,23
2013-05,12
2013-06,10
2013-07,4
2013-08,5
2013-09,6
2013-10,7
2013-11,9
2013-12,11
2014-01,9
2014-02,13
2014-03,13
2014-04,19
2014-05,15
2014-06,8
2014-07,4
2014-08,7
2014-09,6
2014-10,7
2014-11,13
2014-12,13
2015-01,10
2015-02,17
2015-03,35
2015-04,39
2015-05,36
2015-06,15
2015-07,6
2015-08,7
2015-09,6
2015-10,5
2015-11,16
2015-12,48
2016-01,46
2016-02,100
2016-03,81
2016-04,45
2016-05,24
2016-06,17
2016-07,5
2016-08,8
2016-09,6
2016-10,8
2016-11,14
2016-12,12
2017-01,12
2017-02,17
2017-03,19
2017-04,13
2017-05,11
2017-06,6
2017-07,0
2017-08,5
2017-09,5
2017-10,12
2017-11,11
2017-12,13
2018-01,8
2018-02,17
2018-03,20
2018-04,19
2018-05,11
2018-06,8
2018-07,3
2018-08,6
2018-09,6
2018-10,8
2018-11,16
2018-12,11
2019-01,9
2019-02,19
2019-03,25
2019-04,27
2019-05,24
2019-06,14
2019-07,7
2019-08,6
2019-09,6
2019-10,7
2019-11,11
2019-12,15
