Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,66
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,19
2006-04,28
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,15
2006-12,0
2007-01,0
2007-02,21
2007-03,0
2007-04,19
2007-05,0
2007-06,0
2007-07,11
2007-08,0
2007-09,0
2007-10,10
2007-11,0
2007-12,0
2008-01,20
2008-02,13
2008-03,37
2008-04,65
2008-05,30
2008-06,14
2008-07,0
2008-08,0
2008-09,0
2008-10,8
2008-11,9
2008-12,0
2009-01,11
2009-02,17
2009-03,19
2009-04,16
2009-05,13
2009-06,0
2009-07,0
2009-08,8
2009-09,0
2009-10,0
2009-11,9
2009-12,19
2010-01,31
2010-02,51
2010-03,76
2010-04,53
2010-05,35
2010-06,17
2010-07,10
2010-08,8
2010-09,11
2010-10,6
2010-11,13
2010-12,7
2011-01,17
2011-02,20
2011-03,27
2011-04,29
2011-05,15
2011-06,13
2011-07,10
2011-08,9
2011-09,10
2011-10,16
2011-11,26
2011-12,17
2012-01,13
2012-02,16
2012-03,16
2012-04,19
2012-05,16
2012-06,13
2012-07,8
2012-08,8
2012-09,10
2012-10,9
2012-11,11
2012-12,14
2013-01,28
2013-02,44
2013-03,43
2013-04,51
2013-05,42
2013-06,24
2013-07,11
2013-08,10
2013-09,9
2013-10,8
2013-11,12
2013-12,12
2014-01,18
2014-02,22
2014-03,28
2014-04,39
2014-05,33
2014-06,20
2014-07,12
2014-08,9
2014-09,8
2014-10,9
2014-11,12
2014-12,13
2015-01,21
2015-02,38
2015-03,60
2015-04,89
2015-05,81
2015-06,36
2015-07,15
2015-08,12
2015-09,12
2015-10,8
2015-11,15
2015-12,38
2016-01,49
2016-02,100
2016-03,87
2016-04,66
2016-05,34
2016-06,16
2016-07,8
2016-08,8
2016-09,9
2016-10,8
2016-11,11
2016-12,15
2017-01,16
2017-02,22
2017-03,27
2017-04,29
2017-05,28
2017-06,18
2017-07,8
2017-08,10
2017-09,10
2017-10,11
2017-11,13
2017-12,16
2018-01,24
2018-02,32
2018-03,45
2018-04,59
2018-05,38
2018-06,21
2018-07,11
2018-08,9
2018-09,9
2018-10,11
2018-11,20
2018-12,22
2019-01,29
2019-02,37
2019-03,61
2019-04,78
2019-05,93
2019-06,59
2019-07,21
2019-08,14
2019-09,15
2019-10,15
2019-11,15
2019-12,22
