Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,39
2007-03,32
2007-04,35
2007-05,32
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,41
2008-04,100
2008-05,42
2008-06,27
2008-07,0
2008-08,21
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,31
2009-03,27
2009-04,24
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,22
2010-03,21
2010-04,23
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,15
2011-02,18
2011-03,33
2011-04,38
2011-05,21
2011-06,21
2011-07,16
2011-08,13
2011-09,10
2011-10,10
2011-11,12
2011-12,9
2012-01,9
2012-02,10
2012-03,17
2012-04,13
2012-05,12
2012-06,9
2012-07,5
2012-08,8
2012-09,8
2012-10,7
2012-11,8
2012-12,5
2013-01,7
2013-02,8
2013-03,14
2013-04,21
2013-05,14
2013-06,9
2013-07,7
2013-08,7
2013-09,5
2013-10,5
2013-11,7
2013-12,3
2014-01,6
2014-02,6
2014-03,8
2014-04,12
2014-05,12
2014-06,6
2014-07,6
2014-08,7
2014-09,5
2014-10,7
2014-11,7
2014-12,6
2015-01,6
2015-02,10
2015-03,28
2015-04,38
2015-05,28
2015-06,14
2015-07,7
2015-08,7
2015-09,7
2015-10,5
2015-11,7
2015-12,14
2016-01,17
2016-02,69
2016-03,81
2016-04,65
2016-05,33
2016-06,20
2016-07,7
2016-08,7
2016-09,8
2016-10,6
2016-11,8
2016-12,5
2017-01,9
2017-02,14
2017-03,18
2017-04,14
2017-05,10
2017-06,8
2017-07,4
2017-08,5
2017-09,6
2017-10,7
2017-11,5
2017-12,4
2018-01,7
2018-02,8
2018-03,10
2018-04,11
2018-05,9
2018-06,6
2018-07,4
2018-08,5
2018-09,6
2018-10,4
2018-11,5
2018-12,7
2019-01,6
2019-02,9
2019-03,17
2019-04,20
2019-05,18
2019-06,13
2019-07,8
2019-08,6
2019-09,7
2019-10,7
2019-11,5
2019-12,5
