Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,21
2006-04,37
2006-05,18
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,24
2006-12,0
2007-01,36
2007-02,100
2007-03,60
2007-04,35
2007-05,13
2007-06,10
2007-07,0
2007-08,7
2007-09,9
2007-10,17
2007-11,30
2007-12,13
2008-01,0
2008-02,11
2008-03,13
2008-04,31
2008-05,15
2008-06,0
2008-07,0
2008-08,0
2008-09,7
2008-10,6
2008-11,15
2008-12,0
2009-01,0
2009-02,0
2009-03,20
2009-04,16
2009-05,9
2009-06,9
2009-07,0
2009-08,7
2009-09,6
2009-10,0
2009-11,8
2009-12,15
2010-01,16
2010-02,37
2010-03,46
2010-04,30
2010-05,13
2010-06,7
2010-07,0
2010-08,0
2010-09,6
2010-10,14
2010-11,25
2010-12,0
2011-01,7
2011-02,19
2011-03,26
2011-04,22
2011-05,13
2011-06,9
2011-07,4
2011-08,6
2011-09,6
2011-10,7
2011-11,7
2011-12,5
2012-01,5
2012-02,6
2012-03,12
2012-04,11
2012-05,10
2012-06,7
2012-07,5
2012-08,5
2012-09,6
2012-10,4
2012-11,7
2012-12,7
2013-01,32
2013-02,52
2013-03,34
2013-04,25
2013-05,15
2013-06,7
2013-07,4
2013-08,4
2013-09,3
2013-10,5
2013-11,5
2013-12,3
2014-01,5
2014-02,8
2014-03,11
2014-04,8
2014-05,7
2014-06,4
2014-07,3
2014-08,4
2014-09,4
2014-10,5
2014-11,6
2014-12,4
2015-01,5
2015-02,10
2015-03,21
2015-04,24
2015-05,20
2015-06,13
2015-07,5
2015-08,5
2015-09,5
2015-10,5
2015-11,11
2015-12,26
2016-01,43
2016-02,59
2016-03,54
2016-04,31
2016-05,12
2016-06,8
2016-07,3
2016-08,4
2016-09,4
2016-10,4
2016-11,5
2016-12,5
2017-01,6
2017-02,7
2017-03,10
2017-04,8
2017-05,8
2017-06,4
2017-07,2
2017-08,4
2017-09,5
2017-10,5
2017-11,7
2017-12,5
2018-01,5
2018-02,6
2018-03,8
2018-04,8
2018-05,5
2018-06,3
2018-07,2
2018-08,3
2018-09,3
2018-10,4
2018-11,7
2018-12,9
2019-01,8
2019-02,21
2019-03,55
2019-04,58
2019-05,37
2019-06,19
2019-07,8
2019-08,6
2019-09,5
2019-10,5
2019-11,6
2019-12,10
