Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,45
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,42
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,45
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,48
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,37
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,13
2011-02,27
2011-03,32
2011-04,29
2011-05,17
2011-06,14
2011-07,8
2011-08,0
2011-09,12
2011-10,13
2011-11,13
2011-12,13
2012-01,14
2012-02,13
2012-03,15
2012-04,14
2012-05,9
2012-06,11
2012-07,13
2012-08,13
2012-09,12
2012-10,10
2012-11,11
2012-12,12
2013-01,36
2013-02,55
2013-03,32
2013-04,28
2013-05,15
2013-06,10
2013-07,9
2013-08,5
2013-09,7
2013-10,11
2013-11,16
2013-12,11
2014-01,16
2014-02,15
2014-03,16
2014-04,9
2014-05,10
2014-06,12
2014-07,8
2014-08,10
2014-09,9
2014-10,20
2014-11,14
2014-12,15
2015-01,10
2015-02,19
2015-03,29
2015-04,27
2015-05,26
2015-06,19
2015-07,9
2015-08,14
2015-09,14
2015-10,15
2015-11,28
2015-12,59
2016-01,55
2016-02,100
2016-03,98
2016-04,53
2016-05,25
2016-06,18
2016-07,12
2016-08,15
2016-09,18
2016-10,14
2016-11,17
2016-12,17
2017-01,19
2017-02,16
2017-03,24
2017-04,20
2017-05,21
2017-06,16
2017-07,13
2017-08,15
2017-09,13
2017-10,15
2017-11,25
2017-12,19
2018-01,28
2018-02,16
2018-03,21
2018-04,18
2018-05,13
2018-06,14
2018-07,14
2018-08,18
2018-09,15
2018-10,21
2018-11,23
2018-12,19
2019-01,16
2019-02,24
2019-03,55
2019-04,53
2019-05,33
2019-06,22
2019-07,15
2019-08,18
2019-09,18
2019-10,18
2019-11,17
2019-12,23
