Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,31
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,33
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,38
2009-05,0
2009-06,27
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,45
2010-01,0
2010-02,36
2010-03,22
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,19
2011-02,18
2011-03,23
2011-04,17
2011-05,14
2011-06,10
2011-07,12
2011-08,7
2011-09,9
2011-10,18
2011-11,15
2011-12,12
2012-01,10
2012-02,14
2012-03,16
2012-04,18
2012-05,14
2012-06,12
2012-07,9
2012-08,9
2012-09,10
2012-10,12
2012-11,12
2012-12,11
2013-01,14
2013-02,15
2013-03,13
2013-04,16
2013-05,11
2013-06,11
2013-07,8
2013-08,5
2013-09,10
2013-10,11
2013-11,11
2013-12,9
2014-01,7
2014-02,8
2014-03,7
2014-04,10
2014-05,10
2014-06,10
2014-07,7
2014-08,8
2014-09,11
2014-10,11
2014-11,10
2014-12,10
2015-01,8
2015-02,11
2015-03,19
2015-04,18
2015-05,15
2015-06,15
2015-07,11
2015-08,12
2015-09,11
2015-10,11
2015-11,19
2015-12,54
2016-01,49
2016-02,100
2016-03,63
2016-04,32
2016-05,19
2016-06,13
2016-07,10
2016-08,14
2016-09,15
2016-10,18
2016-11,19
2016-12,16
2017-01,20
2017-02,15
2017-03,20
2017-04,15
2017-05,13
2017-06,16
2017-07,12
2017-08,13
2017-09,9
2017-10,17
2017-11,21
2017-12,18
2018-01,23
2018-02,17
2018-03,20
2018-04,18
2018-05,14
2018-06,10
2018-07,13
2018-08,14
2018-09,14
2018-10,18
2018-11,23
2018-12,15
2019-01,15
2019-02,16
2019-03,20
2019-04,23
2019-05,21
2019-06,15
2019-07,17
2019-08,15
2019-09,11
2019-10,17
2019-11,20
2019-12,20
