Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,100
2009-05,67
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,63
2009-12,99
2010-01,96
2010-02,86
2010-03,0
2010-04,48
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,25
2011-02,18
2011-03,18
2011-04,22
2011-05,0
2011-06,12
2011-07,18
2011-08,10
2011-09,11
2011-10,10
2011-11,16
2011-12,17
2012-01,13
2012-02,42
2012-03,76
2012-04,57
2012-05,49
2012-06,26
2012-07,20
2012-08,12
2012-09,19
2012-10,12
2012-11,17
2012-12,22
2013-01,47
2013-02,47
2013-03,33
2013-04,39
2013-05,25
2013-06,20
2013-07,17
2013-08,0
2013-09,7
2013-10,7
2013-11,13
2013-12,14
2014-01,12
2014-02,14
2014-03,18
2014-04,18
2014-05,18
2014-06,18
2014-07,12
2014-08,0
2014-09,9
2014-10,8
2014-11,8
2014-12,0
2015-01,7
2015-02,17
2015-03,36
2015-04,48
2015-05,45
2015-06,36
2015-07,13
2015-08,16
2015-09,13
2015-10,0
2015-11,23
2015-12,58
2016-01,55
2016-02,63
2016-03,35
2016-04,23
2016-05,8
2016-06,8
2016-07,7
2016-08,7
2016-09,6
2016-10,7
2016-11,12
2016-12,13
2017-01,20
2017-02,21
2017-03,20
2017-04,14
2017-05,12
2017-06,6
2017-07,6
2017-08,0
2017-09,6
2017-10,5
2017-11,10
2017-12,10
2018-01,18
2018-02,20
2018-03,17
2018-04,16
2018-05,19
2018-06,8
2018-07,6
2018-08,4
2018-09,0
2018-10,5
2018-11,12
2018-12,12
2019-01,7
2019-02,14
2019-03,24
2019-04,26
2019-05,40
2019-06,29
2019-07,18
2019-08,8
2019-09,7
2019-10,9
2019-11,19
2019-12,25
