Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,31
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,18
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,21
2007-04,21
2007-05,11
2007-06,17
2007-07,0
2007-08,11
2007-09,0
2007-10,12
2007-11,11
2007-12,11
2008-01,8
2008-02,16
2008-03,31
2008-04,100
2008-05,39
2008-06,19
2008-07,0
2008-08,9
2008-09,12
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,14
2009-03,22
2009-04,10
2009-05,7
2009-06,7
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,8
2010-01,7
2010-02,0
2010-03,10
2010-04,11
2010-05,11
2010-06,0
2010-07,0
2010-08,0
2010-09,10
2010-10,0
2010-11,9
2010-12,0
2011-01,11
2011-02,19
2011-03,18
2011-04,15
2011-05,10
2011-06,5
2011-07,4
2011-08,5
2011-09,5
2011-10,5
2011-11,8
2011-12,6
2012-01,7
2012-02,11
2012-03,12
2012-04,9
2012-05,8
2012-06,7
2012-07,3
2012-08,4
2012-09,5
2012-10,3
2012-11,4
2012-12,3
2013-01,7
2013-02,9
2013-03,11
2013-04,10
2013-05,8
2013-06,5
2013-07,2
2013-08,3
2013-09,4
2013-10,3
2013-11,5
2013-12,2
2014-01,4
2014-02,6
2014-03,6
2014-04,6
2014-05,6
2014-06,5
2014-07,4
2014-08,4
2014-09,3
2014-10,4
2014-11,4
2014-12,4
2015-01,4
2015-02,8
2015-03,14
2015-04,13
2015-05,13
2015-06,9
2015-07,5
2015-08,7
2015-09,5
2015-10,5
2015-11,8
2015-12,12
2016-01,15
2016-02,39
2016-03,34
2016-04,22
2016-05,13
2016-06,9
2016-07,3
2016-08,5
2016-09,5
2016-10,5
2016-11,5
2016-12,5
2017-01,9
2017-02,12
2017-03,11
2017-04,7
2017-05,5
2017-06,4
2017-07,2
2017-08,3
2017-09,4
2017-10,4
2017-11,5
2017-12,3
2018-01,4
2018-02,7
2018-03,9
2018-04,9
2018-05,6
2018-06,5
2018-07,2
2018-08,4
2018-09,5
2018-10,3
2018-11,4
2018-12,5
2019-01,5
2019-02,8
2019-03,10
2019-04,10
2019-05,9
2019-06,5
2019-07,4
2019-08,5
2019-09,5
2019-10,4
2019-11,5
2019-12,5
