Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,20
2011-03,40
2011-04,62
2011-05,53
2011-06,28
2011-07,20
2011-08,34
2011-09,16
2011-10,0
2011-11,15
2011-12,0
2012-01,11
2012-02,26
2012-03,23
2012-04,51
2012-05,45
2012-06,33
2012-07,34
2012-08,20
2012-09,15
2012-10,0
2012-11,0
2012-12,0
2013-01,13
2013-02,11
2013-03,18
2013-04,50
2013-05,46
2013-06,29
2013-07,31
2013-08,25
2013-09,0
2013-10,10
2013-11,0
2013-12,0
2014-01,6
2014-02,11
2014-03,8
2014-04,11
2014-05,18
2014-06,16
2014-07,11
2014-08,10
2014-09,6
2014-10,8
2014-11,8
2014-12,0
2015-01,0
2015-02,12
2015-03,45
2015-04,70
2015-05,66
2015-06,42
2015-07,25
2015-08,17
2015-09,9
2015-10,0
2015-11,10
2015-12,22
2016-01,26
2016-02,94
2016-03,100
2016-04,76
2016-05,44
2016-06,35
2016-07,18
2016-08,9
2016-09,8
2016-10,6
2016-11,0
2016-12,0
2017-01,10
2017-02,11
2017-03,19
2017-04,19
2017-05,14
2017-06,13
2017-07,10
2017-08,12
2017-09,9
2017-10,6
2017-11,0
2017-12,0
2018-01,6
2018-02,15
2018-03,14
2018-04,27
2018-05,50
2018-06,39
2018-07,28
2018-08,12
2018-09,8
2018-10,8
2018-11,6
2018-12,11
2019-01,7
2019-02,20
2019-03,26
2019-04,51
2019-05,62
2019-06,47
2019-07,42
2019-08,34
2019-09,29
2019-10,18
2019-11,13
2019-12,11
