Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,20
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,9
2006-12,8
2007-01,8
2007-02,14
2007-03,22
2007-04,19
2007-05,16
2007-06,7
2007-07,0
2007-08,0
2007-09,8
2007-10,11
2007-11,15
2007-12,8
2008-01,14
2008-02,10
2008-03,19
2008-04,63
2008-05,15
2008-06,11
2008-07,8
2008-08,8
2008-09,6
2008-10,8
2008-11,8
2008-12,8
2009-01,7
2009-02,11
2009-03,16
2009-04,11
2009-05,12
2009-06,7
2009-07,5
2009-08,8
2009-09,6
2009-10,7
2009-11,15
2009-12,8
2010-01,9
2010-02,12
2010-03,20
2010-04,25
2010-05,11
2010-06,11
2010-07,17
2010-08,9
2010-09,9
2010-10,9
2010-11,8
2010-12,9
2011-01,10
2011-02,20
2011-03,19
2011-04,16
2011-05,10
2011-06,6
2011-07,4
2011-08,7
2011-09,7
2011-10,7
2011-11,8
2011-12,10
2012-01,8
2012-02,9
2012-03,11
2012-04,9
2012-05,6
2012-06,7
2012-07,4
2012-08,6
2012-09,6
2012-10,7
2012-11,9
2012-12,8
2013-01,11
2013-02,17
2013-03,18
2013-04,20
2013-05,9
2013-06,7
2013-07,6
2013-08,5
2013-09,7
2013-10,10
2013-11,12
2013-12,10
2014-01,11
2014-02,11
2014-03,13
2014-04,14
2014-05,15
2014-06,9
2014-07,7
2014-08,8
2014-09,8
2014-10,10
2014-11,12
2014-12,10
2015-01,15
2015-02,16
2015-03,24
2015-04,25
2015-05,19
2015-06,12
2015-07,9
2015-08,11
2015-09,11
2015-10,12
2015-11,17
2015-12,46
2016-01,52
2016-02,100
2016-03,76
2016-04,46
2016-05,18
2016-06,12
2016-07,8
2016-08,9
2016-09,12
2016-10,13
2016-11,16
2016-12,14
2017-01,19
2017-02,19
2017-03,17
2017-04,13
2017-05,13
2017-06,10
2017-07,8
2017-08,9
2017-09,14
2017-10,15
2017-11,14
2017-12,15
2018-01,26
2018-02,19
2018-03,16
2018-04,18
2018-05,11
2018-06,9
2018-07,9
2018-08,9
2018-09,11
2018-10,14
2018-11,17
2018-12,17
2019-01,23
2019-02,20
2019-03,28
2019-04,22
2019-05,20
2019-06,15
2019-07,10
2019-08,10
2019-09,12
2019-10,14
2019-11,18
2019-12,22
