Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,63
2008-04,67
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,61
2010-04,37
2010-05,0
2010-06,0
2010-07,25
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,14
2011-02,36
2011-03,48
2011-04,37
2011-05,14
2011-06,16
2011-07,22
2011-08,14
2011-09,0
2011-10,13
2011-11,17
2011-12,20
2012-01,20
2012-02,19
2012-03,28
2012-04,19
2012-05,15
2012-06,10
2012-07,9
2012-08,8
2012-09,7
2012-10,6
2012-11,0
2012-12,12
2013-01,22
2013-02,39
2013-03,55
2013-04,62
2013-05,29
2013-06,23
2013-07,16
2013-08,13
2013-09,6
2013-10,7
2013-11,10
2013-12,10
2014-01,17
2014-02,9
2014-03,22
2014-04,41
2014-05,36
2014-06,20
2014-07,13
2014-08,14
2014-09,11
2014-10,12
2014-11,14
2014-12,12
2015-01,14
2015-02,23
2015-03,60
2015-04,77
2015-05,52
2015-06,29
2015-07,21
2015-08,16
2015-09,15
2015-10,14
2015-11,17
2015-12,46
2016-01,66
2016-02,100
2016-03,83
2016-04,64
2016-05,26
2016-06,16
2016-07,8
2016-08,8
2016-09,8
2016-10,7
2016-11,11
2016-12,13
2017-01,17
2017-02,17
2017-03,16
2017-04,14
2017-05,9
2017-06,6
2017-07,7
2017-08,5
2017-09,9
2017-10,9
2017-11,11
2017-12,11
2018-01,16
2018-02,16
2018-03,12
2018-04,18
2018-05,7
2018-06,8
2018-07,6
2018-08,4
2018-09,5
2018-10,10
2018-11,13
2018-12,13
2019-01,20
2019-02,23
2019-03,36
2019-04,59
2019-05,43
2019-06,29
2019-07,15
2019-08,16
2019-09,10
2019-10,14
2019-11,26
2019-12,33
