Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,21
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,33
2007-04,26
2007-05,25
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,10
2007-11,13
2007-12,12
2008-01,20
2008-02,9
2008-03,45
2008-04,76
2008-05,16
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,11
2008-12,0
2009-01,8
2009-02,0
2009-03,19
2009-04,13
2009-05,6
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,6
2009-12,11
2010-01,11
2010-02,21
2010-03,40
2010-04,41
2010-05,15
2010-06,6
2010-07,0
2010-08,5
2010-09,6
2010-10,0
2010-11,6
2010-12,0
2011-01,15
2011-02,34
2011-03,39
2011-04,26
2011-05,13
2011-06,10
2011-07,11
2011-08,8
2011-09,5
2011-10,6
2011-11,11
2011-12,11
2012-01,11
2012-02,10
2012-03,14
2012-04,12
2012-05,10
2012-06,9
2012-07,8
2012-08,5
2012-09,4
2012-10,5
2012-11,5
2012-12,6
2013-01,18
2013-02,30
2013-03,39
2013-04,47
2013-05,22
2013-06,14
2013-07,10
2013-08,8
2013-09,4
2013-10,5
2013-11,7
2013-12,6
2014-01,11
2014-02,9
2014-03,17
2014-04,29
2014-05,26
2014-06,12
2014-07,9
2014-08,8
2014-09,6
2014-10,6
2014-11,6
2014-12,6
2015-01,9
2015-02,16
2015-03,41
2015-04,60
2015-05,40
2015-06,20
2015-07,13
2015-08,13
2015-09,10
2015-10,9
2015-11,12
2015-12,36
2016-01,73
2016-02,100
2016-03,90
2016-04,66
2016-05,24
2016-06,12
2016-07,6
2016-08,7
2016-09,8
2016-10,6
2016-11,9
2016-12,10
2017-01,16
2017-02,15
2017-03,15
2017-04,10
2017-05,7
2017-06,5
2017-07,5
2017-08,3
2017-09,7
2017-10,7
2017-11,7
2017-12,8
2018-01,12
2018-02,10
2018-03,8
2018-04,11
2018-05,7
2018-06,5
2018-07,4
2018-08,2
2018-09,3
2018-10,5
2018-11,6
2018-12,7
2019-01,14
2019-02,17
2019-03,26
2019-04,40
2019-05,41
2019-06,24
2019-07,11
2019-08,9
2019-09,8
2019-10,9
2019-11,14
2019-12,21
