Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,14
2004-10,13
2004-11,0
2004-12,0
2005-01,16
2005-02,18
2005-03,18
2005-04,0
2005-05,15
2005-06,11
2005-07,0
2005-08,10
2005-09,0
2005-10,7
2005-11,11
2005-12,9
2006-01,11
2006-02,11
2006-03,11
2006-04,13
2006-05,7
2006-06,12
2006-07,11
2006-08,12
2006-09,6
2006-10,8
2006-11,9
2006-12,14
2007-01,6
2007-02,10
2007-03,10
2007-04,11
2007-05,9
2007-06,9
2007-07,9
2007-08,6
2007-09,12
2007-10,17
2007-11,16
2007-12,11
2008-01,18
2008-02,20
2008-03,69
2008-04,92
2008-05,25
2008-06,17
2008-07,10
2008-08,11
2008-09,11
2008-10,10
2008-11,14
2008-12,13
2009-01,11
2009-02,19
2009-03,27
2009-04,13
2009-05,11
2009-06,10
2009-07,6
2009-08,9
2009-09,10
2009-10,9
2009-11,10
2009-12,9
2010-01,9
2010-02,11
2010-03,12
2010-04,14
2010-05,13
2010-06,9
2010-07,14
2010-08,7
2010-09,8
2010-10,10
2010-11,11
2010-12,12
2011-01,11
2011-02,13
2011-03,23
2011-04,31
2011-05,14
2011-06,12
2011-07,10
2011-08,9
2011-09,10
2011-10,14
2011-11,16
2011-12,14
2012-01,12
2012-02,11
2012-03,13
2012-04,16
2012-05,14
2012-06,12
2012-07,9
2012-08,9
2012-09,9
2012-10,9
2012-11,9
2012-12,10
2013-01,10
2013-02,15
2013-03,17
2013-04,22
2013-05,12
2013-06,10
2013-07,8
2013-08,8
2013-09,10
2013-10,11
2013-11,12
2013-12,11
2014-01,10
2014-02,8
2014-03,10
2014-04,14
2014-05,13
2014-06,13
2014-07,10
2014-08,10
2014-09,12
2014-10,12
2014-11,14
2014-12,13
2015-01,12
2015-02,17
2015-03,24
2015-04,28
2015-05,26
2015-06,19
2015-07,14
2015-08,15
2015-09,17
2015-10,16
2015-11,23
2015-12,59
2016-01,37
2016-02,100
2016-03,59
2016-04,45
2016-05,24
2016-06,18
2016-07,17
2016-08,13
2016-09,15
2016-10,16
2016-11,20
2016-12,19
2017-01,25
2017-02,32
2017-03,31
2017-04,24
2017-05,18
2017-06,17
2017-07,13
2017-08,14
2017-09,18
2017-10,18
2017-11,21
2017-12,24
2018-01,42
2018-02,33
2018-03,29
2018-04,18
2018-05,15
2018-06,16
2018-07,16
2018-08,15
2018-09,17
2018-10,17
2018-11,22
2018-12,20
2019-01,18
2019-02,35
2019-03,31
2019-04,32
2019-05,39
2019-06,28
2019-07,18
2019-08,15
2019-09,20
2019-10,20
2019-11,21
2019-12,23
