Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,31
2008-02,0
2008-03,78
2008-04,100
2008-05,42
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,22
2010-04,0
2010-05,25
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,36
2011-01,15
2011-02,29
2011-03,61
2011-04,87
2011-05,48
2011-06,32
2011-07,37
2011-08,30
2011-09,26
2011-10,22
2011-11,23
2011-12,23
2012-01,23
2012-02,23
2012-03,45
2012-04,62
2012-05,58
2012-06,51
2012-07,25
2012-08,23
2012-09,19
2012-10,11
2012-11,9
2012-12,9
2013-01,22
2013-02,42
2013-03,77
2013-04,74
2013-05,45
2013-06,36
2013-07,15
2013-08,11
2013-09,9
2013-10,8
2013-11,10
2013-12,4
2014-01,13
2014-02,10
2014-03,12
2014-04,16
2014-05,20
2014-06,15
2014-07,10
2014-08,12
2014-09,12
2014-10,10
2014-11,12
2014-12,9
2015-01,13
2015-02,22
2015-03,49
2015-04,63
2015-05,60
2015-06,35
2015-07,17
2015-08,13
2015-09,13
2015-10,12
2015-11,19
2015-12,42
2016-01,38
2016-02,70
2016-03,56
2016-04,58
2016-05,23
2016-06,12
2016-07,9
2016-08,7
2016-09,7
2016-10,7
2016-11,9
2016-12,13
2017-01,20
2017-02,20
2017-03,18
2017-04,12
2017-05,10
2017-06,10
2017-07,8
2017-08,6
2017-09,5
2017-10,9
2017-11,10
2017-12,7
2018-01,15
2018-02,16
2018-03,21
2018-04,14
2018-05,11
2018-06,10
2018-07,7
2018-08,8
2018-09,8
2018-10,6
2018-11,9
2018-12,14
2019-01,14
2019-02,16
2019-03,31
2019-04,47
2019-05,44
2019-06,34
2019-07,17
2019-08,9
2019-09,11
2019-10,11
2019-11,10
2019-12,13
