Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,20
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,23
2008-04,96
2008-05,32
2008-06,17
2008-07,0
2008-08,0
2008-09,0
2008-10,25
2008-11,0
2008-12,18
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,24
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,13
2011-02,0
2011-03,19
2011-04,25
2011-05,15
2011-06,11
2011-07,9
2011-08,8
2011-09,0
2011-10,4
2011-11,4
2011-12,0
2012-01,6
2012-02,0
2012-03,5
2012-04,8
2012-05,18
2012-06,7
2012-07,11
2012-08,7
2012-09,6
2012-10,6
2012-11,5
2012-12,7
2013-01,6
2013-02,8
2013-03,9
2013-04,9
2013-05,15
2013-06,12
2013-07,8
2013-08,8
2013-09,6
2013-10,6
2013-11,7
2013-12,5
2014-01,7
2014-02,10
2014-03,7
2014-04,11
2014-05,11
2014-06,8
2014-07,10
2014-08,5
2014-09,6
2014-10,4
2014-11,6
2014-12,5
2015-01,7
2015-02,11
2015-03,24
2015-04,24
2015-05,18
2015-06,12
2015-07,12
2015-08,9
2015-09,14
2015-10,30
2015-11,12
2015-12,24
2016-01,27
2016-02,76
2016-03,100
2016-04,59
2016-05,27
2016-06,18
2016-07,14
2016-08,10
2016-09,11
2016-10,8
2016-11,11
2016-12,5
2017-01,12
2017-02,14
2017-03,24
2017-04,20
2017-05,15
2017-06,13
2017-07,12
2017-08,16
2017-09,13
2017-10,14
2017-11,13
2017-12,11
2018-01,16
2018-02,14
2018-03,19
2018-04,19
2018-05,16
2018-06,25
2018-07,20
2018-08,13
2018-09,14
2018-10,10
2018-11,10
2018-12,11
2019-01,12
2019-02,12
2019-03,24
2019-04,26
2019-05,21
2019-06,18
2019-07,21
2019-08,18
2019-09,14
2019-10,11
2019-11,8
2019-12,6
