Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,35
2008-04,100
2008-05,58
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,17
2011-02,14
2011-03,37
2011-04,39
2011-05,28
2011-06,18
2011-07,21
2011-08,18
2011-09,0
2011-10,0
2011-11,19
2011-12,0
2012-01,0
2012-02,10
2012-03,25
2012-04,43
2012-05,31
2012-06,34
2012-07,24
2012-08,32
2012-09,11
2012-10,12
2012-11,0
2012-12,0
2013-01,0
2013-02,12
2013-03,14
2013-04,19
2013-05,28
2013-06,27
2013-07,25
2013-08,16
2013-09,10
2013-10,0
2013-11,10
2013-12,0
2014-01,7
2014-02,0
2014-03,16
2014-04,11
2014-05,18
2014-06,13
2014-07,15
2014-08,10
2014-09,7
2014-10,6
2014-11,8
2014-12,6
2015-01,8
2015-02,20
2015-03,40
2015-04,66
2015-05,34
2015-06,17
2015-07,9
2015-08,7
2015-09,0
2015-10,0
2015-11,4
2015-12,12
2016-01,23
2016-02,76
2016-03,90
2016-04,51
2016-05,22
2016-06,12
2016-07,9
2016-08,5
2016-09,0
2016-10,4
2016-11,5
2016-12,5
2017-01,6
2017-02,5
2017-03,14
2017-04,14
2017-05,10
2017-06,0
2017-07,4
2017-08,0
2017-09,0
2017-10,5
2017-11,0
2017-12,0
2018-01,0
2018-02,10
2018-03,13
2018-04,29
2018-05,25
2018-06,17
2018-07,17
2018-08,14
2018-09,7
2018-10,6
2018-11,0
2018-12,0
2019-01,4
2019-02,7
2019-03,23
2019-04,30
2019-05,48
2019-06,49
2019-07,43
2019-08,28
2019-09,15
2019-10,11
2019-11,8
2019-12,7
