Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,13
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,10
2007-02,0
2007-03,23
2007-04,38
2007-05,45
2007-06,9
2007-07,7
2007-08,7
2007-09,0
2007-10,16
2007-11,9
2007-12,14
2008-01,17
2008-02,8
2008-03,28
2008-04,69
2008-05,25
2008-06,7
2008-07,0
2008-08,8
2008-09,11
2008-10,6
2008-11,12
2008-12,9
2009-01,16
2009-02,16
2009-03,20
2009-04,21
2009-05,12
2009-06,8
2009-07,5
2009-08,6
2009-09,4
2009-10,10
2009-11,10
2009-12,11
2010-01,14
2010-02,12
2010-03,23
2010-04,14
2010-05,9
2010-06,7
2010-07,28
2010-08,10
2010-09,9
2010-10,9
2010-11,9
2010-12,11
2011-01,12
2011-02,14
2011-03,17
2011-04,18
2011-05,9
2011-06,7
2011-07,5
2011-08,4
2011-09,6
2011-10,10
2011-11,10
2011-12,15
2012-01,13
2012-02,10
2012-03,13
2012-04,10
2012-05,10
2012-06,6
2012-07,5
2012-08,6
2012-09,5
2012-10,9
2012-11,8
2012-12,9
2013-01,12
2013-02,17
2013-03,19
2013-04,18
2013-05,10
2013-06,6
2013-07,5
2013-08,5
2013-09,5
2013-10,8
2013-11,9
2013-12,15
2014-01,14
2014-02,9
2014-03,13
2014-04,13
2014-05,11
2014-06,6
2014-07,6
2014-08,6
2014-09,7
2014-10,10
2014-11,13
2014-12,12
2015-01,16
2015-02,17
2015-03,27
2015-04,33
2015-05,21
2015-06,12
2015-07,8
2015-08,10
2015-09,7
2015-10,10
2015-11,17
2015-12,45
2016-01,49
2016-02,98
2016-03,100
2016-04,66
2016-05,22
2016-06,13
2016-07,8
2016-08,9
2016-09,9
2016-10,12
2016-11,20
2016-12,21
2017-01,27
2017-02,22
2017-03,21
2017-04,15
2017-05,16
2017-06,11
2017-07,8
2017-08,10
2017-09,13
2017-10,16
2017-11,17
2017-12,20
2018-01,29
2018-02,24
2018-03,20
2018-04,23
2018-05,15
2018-06,9
2018-07,7
2018-08,9
2018-09,11
2018-10,15
2018-11,22
2018-12,25
2019-01,31
2019-02,23
2019-03,29
2019-04,26
2019-05,26
2019-06,20
2019-07,10
2019-08,9
2019-09,10
2019-10,14
2019-11,20
2019-12,24
