Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,62
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,100
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,35
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,22
2011-03,22
2011-04,30
2011-05,14
2011-06,19
2011-07,30
2011-08,0
2011-09,0
2011-10,13
2011-11,22
2011-12,14
2012-01,21
2012-02,16
2012-03,17
2012-04,16
2012-05,16
2012-06,14
2012-07,14
2012-08,8
2012-09,0
2012-10,7
2012-11,7
2012-12,0
2013-01,10
2013-02,22
2013-03,43
2013-04,47
2013-05,31
2013-06,18
2013-07,14
2013-08,7
2013-09,0
2013-10,0
2013-11,9
2013-12,7
2014-01,7
2014-02,9
2014-03,8
2014-04,16
2014-05,16
2014-06,10
2014-07,8
2014-08,0
2014-09,9
2014-10,6
2014-11,6
2014-12,8
2015-01,11
2015-02,20
2015-03,60
2015-04,84
2015-05,56
2015-06,34
2015-07,18
2015-08,12
2015-09,9
2015-10,6
2015-11,16
2015-12,29
2016-01,39
2016-02,62
2016-03,61
2016-04,55
2016-05,19
2016-06,7
2016-07,5
2016-08,8
2016-09,0
2016-10,0
2016-11,11
2016-12,13
2017-01,16
2017-02,15
2017-03,11
2017-04,17
2017-05,12
2017-06,7
2017-07,6
2017-08,0
2017-09,8
2017-10,7
2017-11,8
2017-12,6
2018-01,10
2018-02,9
2018-03,8
2018-04,13
2018-05,10
2018-06,7
2018-07,6
2018-08,4
2018-09,0
2018-10,0
2018-11,8
2018-12,12
2019-01,10
2019-02,16
2019-03,19
2019-04,33
2019-05,35
2019-06,27
2019-07,11
2019-08,11
2019-09,8
2019-10,8
2019-11,10
2019-12,6
